lat,long,building_height_res100_contrast_9x9,building_height_res100_dissimilarity_9x9,building_height_res100_homogeneity_9x9,building_height_res100_energy_9x9,building_height_res100_correlation_9x9,building_height_res100_ASM_9x9,building_height_std_res100_contrast_9x9,building_height_std_res100_dissimilarity_9x9,building_height_std_res100_homogeneity_9x9,building_height_std_res100_energy_9x9,building_height_std_res100_correlation_9x9,building_height_std_res100_ASM_9x9,building_year_res100_contrast_9x9,building_year_res100_dissimilarity_9x9,building_year_res100_homogeneity_9x9,building_year_res100_energy_9x9,building_year_res100_correlation_9x9,building_year_res100_ASM_9x9,building_area_res100_contrast_9x9,building_area_res100_dissimilarity_9x9,building_area_res100_homogeneity_9x9,building_area_res100_energy_9x9,building_area_res100_correlation_9x9,building_area_res100_ASM_9x9
40.81310667,-73.90916667,0.28125,0.1875,0.915625,0.86185724,0.120610684,0.74279785,0.28125,0.21875,0.896875,0.8202753,-0.092979126,0.67285156,28.125,1.875,0.8755531,0.7784324,0.5608919,0.60595703,8.296875,2.078125,0.43445936,0.19421567,0.3348925,0.037719727
40.813045,-73.90918667,0.28125,0.1875,0.915625,0.86185724,0.120610684,0.74279785,0.28125,0.21875,0.896875,0.8202753,-0.092979126,0.67285156,28.125,1.875,0.8755531,0.7784324,0.5608919,0.60595703,8.296875,2.078125,0.43445936,0.19421567,0.3348925,0.037719727
40.81297833,-73.909215,0.28125,0.1875,0.915625,0.86185724,0.120610684,0.74279785,0.28125,0.21875,0.896875,0.8202753,-0.092979126,0.67285156,28.125,1.875,0.8755531,0.7784324,0.5608919,0.60595703,8.296875,2.078125,0.43445936,0.19421567,0.3348925,0.037719727
40.81290833,-73.90924167,0.28125,0.1875,0.915625,0.86185724,0.120610684,0.74279785,0.28125,0.21875,0.896875,0.8202753,-0.092979126,0.67285156,28.125,1.875,0.8755531,0.7784324,0.5608919,0.60595703,8.296875,2.078125,0.43445936,0.19421567,0.3348925,0.037719727
40.812845,-73.90925667,0.28125,0.1875,0.915625,0.86185724,0.120610684,0.74279785,0.28125,0.21875,0.896875,0.8202753,-0.092979126,0.67285156,28.125,1.875,0.8755531,0.7784324,0.5608919,0.60595703,8.296875,2.078125,0.43445936,0.19421567,0.3348925,0.037719727
40.81277667,-73.90928,0.28125,0.1875,0.915625,0.86185724,0.120610684,0.74279785,0.28125,0.21875,0.896875,0.8202753,-0.092979126,0.67285156,28.125,1.875,0.8755531,0.7784324,0.5608919,0.60595703,8.296875,2.078125,0.43445936,0.19421567,0.3348925,0.037719727
40.81271,-73.90931167,0.28125,0.1875,0.915625,0.86185724,0.120610684,0.74279785,0.28125,0.21875,0.896875,0.8202753,-0.092979126,0.67285156,28.125,1.875,0.8755531,0.7784324,0.5608919,0.60595703,8.296875,2.078125,0.43445936,0.19421567,0.3348925,0.037719727
40.81264333,-73.90934,0.28125,0.1875,0.915625,0.86185724,0.120610684,0.74279785,0.28125,0.21875,0.896875,0.8202753,-0.092979126,0.67285156,28.125,1.875,0.8755531,0.7784324,0.5608919,0.60595703,8.296875,2.078125,0.43445936,0.19421567,0.3348925,0.037719727
40.81256167,-73.90936333,0.28125,0.1875,0.915625,0.86185724,0.120610684,0.74279785,0.28125,0.21875,0.896875,0.8202753,-0.092979126,0.67285156,28.125,1.875,0.8755531,0.7784324,0.5608919,0.60595703,8.296875,2.078125,0.43445936,0.19421567,0.3348925,0.037719727
40.812485,-73.90938333,0.28125,0.1875,0.915625,0.86185724,0.120610684,0.74279785,0.28125,0.21875,0.896875,0.8202753,-0.092979126,0.67285156,28.125,1.875,0.8755531,0.7784324,0.5608919,0.60595703,8.296875,2.078125,0.43445936,0.19421567,0.3348925,0.037719727
