lat,long,var_res30_contrast_9x9,var_res30_dissimilarity_9x9,var_res30_homogeneity_9x9,var_res30_energy_9x9,var_res30_correlation_9x9,var_res30_ASM_9x9,building_area_per_pixel_res30_contrast_9x9,building_area_per_pixel_res30_dissimilarity_9x9,building_area_per_pixel_res30_homogeneity_9x9,building_area_per_pixel_res30_energy_9x9,building_area_per_pixel_res30_correlation_9x9,building_area_per_pixel_res30_ASM_9x9,None_contrast_9x9,None_dissimilarity_9x9,None_homogeneity_9x9,None_energy_9x9,None_correlation_9x9,None_ASM_9x9
40.81310667,-73.90916667,0.0,0.0,1.0,1.0,1.0,1.0,3.9375,1.5,0.47771493,0.3309034,0.079872206,0.10949707,0.0,0.0,1.0,1.0,1.0,1.0
40.813045,-73.90918667,0.0,0.0,1.0,1.0,1.0,1.0,3.9375,1.5,0.47771493,0.3309034,0.079872206,0.10949707,0.0,0.0,1.0,1.0,1.0,1.0
40.81297833,-73.909215,0.0,0.0,1.0,1.0,1.0,1.0,3.96875,1.46875,0.49458426,0.31599608,0.08292903,0.099853516,0.0,0.0,1.0,1.0,1.0,1.0
40.81290833,-73.90924167,0.0,0.0,1.0,1.0,1.0,1.0,3.96875,1.46875,0.49458426,0.31599608,0.08292903,0.099853516,0.0,0.0,1.0,1.0,1.0,1.0
40.812845,-73.90925667,0.0,0.0,1.0,1.0,1.0,1.0,3.96875,1.46875,0.49458426,0.31599608,0.08292903,0.099853516,0.0,0.0,1.0,1.0,1.0,1.0
40.81277667,-73.90928,0.0,0.0,1.0,1.0,1.0,1.0,3.96875,1.46875,0.49458426,0.31599608,0.08292903,0.099853516,0.0,0.0,1.0,1.0,1.0,1.0
40.81271,-73.90931167,0.0,0.0,1.0,1.0,1.0,1.0,3.9375,1.53125,0.45896494,0.2795085,-0.032786883,0.078125,0.0,0.0,1.0,1.0,1.0,1.0
40.81264333,-73.90934,0.0,0.0,1.0,1.0,1.0,1.0,3.9375,1.53125,0.45896494,0.2795085,-0.032786883,0.078125,0.0,0.0,1.0,1.0,1.0,1.0
40.81256167,-73.90936333,0.0,0.0,1.0,1.0,1.0,1.0,3.9375,1.53125,0.45896494,0.2795085,-0.032786883,0.078125,0.0,0.0,1.0,1.0,1.0,1.0
40.812485,-73.90938333,0.0,0.0,1.0,1.0,1.0,1.0,3.9375,1.53125,0.45896494,0.2795085,-0.032786883,0.078125,0.0,0.0,1.0,1.0,1.0,1.0
