lat,long,population_res1000_mean_9x9
40.81310667,-73.90916667,10980.57206745133
40.813045,-73.90918667,10980.57206745133
40.81297833,-73.909215,10980.57206745133
40.81290833,-73.90924167,10980.57206745133
40.812845,-73.90925667,10980.57206745133
40.81277667,-73.90928,10980.57206745133
40.81271,-73.90931167,10980.57206745133
40.81264333,-73.90934,10980.57206745133
40.81256167,-73.90936333,10980.57206745133
40.812485,-73.90938333,10980.57206745133
40.81240333,-73.90939333,10980.57206745133
40.81233,-73.90942,10980.57206745133
40.81223667,-73.90945333,10980.57206745133
40.81216333,-73.90947667,10980.57206745133
40.81209333,-73.90949333,10980.57206745133
40.81203167,-73.90952167,10980.57206745133
40.81198167,-73.90953,10980.57206745133
40.81194,-73.90954833,10980.57206745133
40.8119,-73.90956333,10980.57206745133
40.81186333,-73.90958167,10980.57206745133
40.81181167,-73.9096,10980.57206745133
40.81175333,-73.909615,10980.57206745133
40.8117,-73.90963167,10980.57206745133
40.81164333,-73.90964667,10980.57206745133
40.81157833,-73.90966167,10980.57206745133
40.81151,-73.909675,10980.57206745133
40.81144167,-73.90969333,10980.57206745133
40.81137667,-73.909705,10980.57206745133
40.81132,-73.90971333,10980.57206745133
40.81123,-73.909745,10980.57206745133
40.81120333,-73.909755,10980.57206745133
40.81116167,-73.90977,10980.57206745133
40.81111833,-73.90978667,10980.57206745133
40.81106,-73.90980833,10980.57206745133
40.810865,-73.909875,10980.57206745133
40.81081,-73.9099,10980.57206745133
40.81075333,-73.90992833,10980.57206745133
40.810705,-73.909965,10980.57206745133
40.81062833,-73.90995167,10980.57206745133
40.8106,-73.90991333,10980.57206745133
40.810515,-73.90974333,10980.57206745133
40.810495,-73.90966667,10980.57206745133
40.81047333,-73.90959167,10980.57206745133
40.810445,-73.90951833,10980.57206745133
40.81042333,-73.90944,10980.57206745133
40.8104,-73.909385,10980.57206745133
40.81038,-73.909345,10980.57206745133
40.81033333,-73.90925333,10980.57206745133
40.81030667,-73.90922333,10980.57206745133
40.81029333,-73.90917333,10980.57206745133
40.81028,-73.90911833,10980.57206745133
40.81026167,-73.909055,10980.57206745133
40.81023833,-73.90897833,10980.57206745133
40.81021833,-73.908895,10980.57206745133
40.81017333,-73.90871333,10980.57206745133
40.810155,-73.90862167,10980.57206745133
40.81013833,-73.90853667,10980.57206745133
40.81012667,-73.90847,10980.57206745133
40.810125,-73.90843167,10980.57206745133
40.81009667,-73.90818333,10980.57206745133
40.81007833,-73.9081,10980.57206745133
40.81006,-73.90800833,10980.57206745133
40.81004,-73.90791833,10980.57206745133
40.810025,-73.90782333,9120.97475101142
40.80997833,-73.907525,9120.97475101142
40.809905,-73.90740667,9120.97475101142
40.80987,-73.90739667,9120.97475101142
40.80982833,-73.90739833,9120.97475101142
40.80977667,-73.90741167,9120.97475101142
40.80964333,-73.907465,9120.97475101142
40.80957167,-73.90749167,9120.97475101142
40.80950167,-73.90751833,9120.97475101142
40.80944167,-73.90753833,9120.97475101142
40.80939833,-73.90755,9120.97475101142
40.80920333,-73.90761333,9120.97475101142
40.80913833,-73.90763833,9120.97475101142
40.80906667,-73.90766,9120.97475101142
40.80899,-73.90768,9120.97475101142
40.80891167,-73.90770167,9120.97475101142
40.808825,-73.90772667,9120.97475101142
40.808735,-73.90775667,9120.97475101142
40.80864333,-73.907785,9120.97475101142
40.80855,-73.90781833,9120.97475101142
40.80845667,-73.90785667,9120.97475101142
40.80836,-73.90789333,9120.97475101142
40.80826167,-73.90792833,10980.57206745133
40.80806667,-73.90800833,10980.57206745133
40.80797667,-73.90802667,10980.57206745133
40.807885,-73.90804667,10067.447616425505
40.80778833,-73.90808667,10067.447616425505
40.80769167,-73.90813,10067.447616425505
40.80759667,-73.90817333,10067.447616425505
40.8075,-73.90821333,10067.447616425505
40.80741333,-73.908245,10067.447616425505
