lat,long,has_residence_res30_distance_mean_9x9,has_manufacture_res30_distance_mean_9x9,has_commercial_res30_distance_mean_9x9,has_park_res30_distance_mean_9x9
40.81310667,-73.90916667,0.0,9.76745,19.344755,5.7187696
40.813045,-73.90918667,0.0,9.76745,19.344755,5.7187696
40.81297833,-73.909215,0.0,9.18669,19.710012,4.4937644
40.81290833,-73.90924167,0.0,9.18669,19.710012,4.4937644
40.812845,-73.90925667,0.0,9.18669,19.710012,4.4937644
40.81277667,-73.90928,0.0,9.18669,19.710012,4.4937644
40.81271,-73.90931167,0.0,8.432576,20.003012,4.2939653
40.81264333,-73.90934,0.0,8.432576,20.003012,4.2939653
40.81256167,-73.90936333,0.0,8.432576,20.003012,4.2939653
40.812485,-73.90938333,0.0,8.432576,20.003012,4.2939653
40.81240333,-73.90939333,0.0,7.6073833,20.262846,4.1368303
40.81233,-73.90942,0.0,7.6073833,20.262846,4.1368303
40.81223667,-73.90945333,0.0,7.6073833,20.262846,4.1368303
40.81216333,-73.90947667,0.061728396,6.980235,20.676544,3.1176162
40.81209333,-73.90949333,0.061728396,6.980235,20.676544,3.1176162
40.81203167,-73.90952167,0.061728396,6.980235,20.676544,3.1176162
40.81198167,-73.90953,0.061728396,6.980235,20.676544,3.1176162
40.81194,-73.90954833,0.061728396,6.980235,20.676544,3.1176162
40.8119,-73.90956333,0.061728396,6.0963097,20.949755,2.9830544
40.81186333,-73.90958167,0.061728396,6.0963097,20.949755,2.9830544
40.81181167,-73.9096,0.061728396,6.0963097,20.949755,2.9830544
40.81175333,-73.909615,0.061728396,6.0963097,20.949755,2.9830544
40.8117,-73.90963167,0.061728396,6.0963097,20.949755,2.9830544
40.81164333,-73.90964667,0.061728396,6.0963097,20.949755,2.9830544
40.81157833,-73.90966167,0.086419754,5.1906886,21.21749,2.8966348
40.81151,-73.909675,0.086419754,5.1906886,21.21749,2.8966348
40.81144167,-73.90969333,0.086419754,5.1906886,21.21749,2.8966348
40.81137667,-73.909705,0.086419754,5.1906886,21.21749,2.8966348
40.81132,-73.90971333,0.086419754,4.2901807,21.49917,2.810215
40.81123,-73.909745,0.25714105,4.628778,21.654274,2.0788243
40.81120333,-73.909755,0.25714105,4.628778,21.654274,2.0788243
40.81116167,-73.90977,0.25714105,4.628778,21.654274,2.0788243
