lat,long,street_width_res100_contrast_9x9,street_width_res100_dissimilarity_9x9,street_width_res100_homogeneity_9x9,street_width_res100_energy_9x9,street_width_res100_correlation_9x9,street_width_res100_ASM_9x9,street_traffic_res100_contrast_9x9,street_traffic_res100_dissimilarity_9x9,street_traffic_res100_homogeneity_9x9,street_traffic_res100_energy_9x9,street_traffic_res100_correlation_9x9,street_traffic_res100_ASM_9x9,street_lanes_res100_contrast_9x9,street_lanes_res100_dissimilarity_9x9,street_lanes_res100_homogeneity_9x9,street_lanes_res100_energy_9x9,street_lanes_res100_correlation_9x9,street_lanes_res100_ASM_9x9,street_orientation_res100_contrast_9x9,street_orientation_res100_dissimilarity_9x9,street_orientation_res100_homogeneity_9x9,street_orientation_res100_energy_9x9,street_orientation_res100_correlation_9x9,street_orientation_res100_ASM_9x9
40.81310667,-73.90916667,5.171875,1.703125,0.44446027,0.2713087,0.18821253,0.0736084,24.59375,3.78125,0.35942736,0.29043174,0.26909682,0.084350586,13.984375,2.734375,0.36213103,0.1875,0.22506104,0.03515625,11.671875,2.390625,0.45352772,0.35355338,0.08469027,0.125
40.813045,-73.90918667,5.171875,1.703125,0.44446027,0.2713087,0.18821253,0.0736084,24.59375,3.78125,0.35942736,0.29043174,0.26909682,0.084350586,13.984375,2.734375,0.36213103,0.1875,0.22506104,0.03515625,11.671875,2.390625,0.45352772,0.35355338,0.08469027,0.125
40.81297833,-73.909215,5.171875,1.703125,0.44446027,0.2713087,0.18821253,0.0736084,24.59375,3.78125,0.35942736,0.29043174,0.26909682,0.084350586,13.984375,2.734375,0.36213103,0.1875,0.22506104,0.03515625,11.671875,2.390625,0.45352772,0.35355338,0.08469027,0.125
40.81290833,-73.90924167,5.171875,1.703125,0.44446027,0.2713087,0.18821253,0.0736084,24.59375,3.78125,0.35942736,0.29043174,0.26909682,0.084350586,13.984375,2.734375,0.36213103,0.1875,0.22506104,0.03515625,11.671875,2.390625,0.45352772,0.35355338,0.08469027,0.125
40.812845,-73.90925667,5.171875,1.703125,0.44446027,0.2713087,0.18821253,0.0736084,24.59375,3.78125,0.35942736,0.29043174,0.26909682,0.084350586,13.984375,2.734375,0.36213103,0.1875,0.22506104,0.03515625,11.671875,2.390625,0.45352772,0.35355338,0.08469027,0.125
40.81277667,-73.90928,5.171875,1.703125,0.44446027,0.2713087,0.18821253,0.0736084,24.59375,3.78125,0.35942736,0.29043174,0.26909682,0.084350586,13.984375,2.734375,0.36213103,0.1875,0.22506104,0.03515625,11.671875,2.390625,0.45352772,0.35355338,0.08469027,0.125
40.81271,-73.90931167,5.171875,1.703125,0.44446027,0.2713087,0.18821253,0.0736084,24.59375,3.78125,0.35942736,0.29043174,0.26909682,0.084350586,13.984375,2.734375,0.36213103,0.1875,0.22506104,0.03515625,11.671875,2.390625,0.45352772,0.35355338,0.08469027,0.125
40.81264333,-73.90934,5.171875,1.703125,0.44446027,0.2713087,0.18821253,0.0736084,24.59375,3.78125,0.35942736,0.29043174,0.26909682,0.084350586,13.984375,2.734375,0.36213103,0.1875,0.22506104,0.03515625,11.671875,2.390625,0.45352772,0.35355338,0.08469027,0.125
40.81256167,-73.90936333,5.171875,1.703125,0.44446027,0.2713087,0.18821253,0.0736084,24.59375,3.78125,0.35942736,0.29043174,0.26909682,0.084350586,13.984375,2.734375,0.36213103,0.1875,0.22506104,0.03515625,11.671875,2.390625,0.45352772,0.35355338,0.08469027,0.125
40.812485,-73.90938333,5.171875,1.703125,0.44446027,0.2713087,0.18821253,0.0736084,24.59375,3.78125,0.35942736,0.29043174,0.26909682,0.084350586,13.984375,2.734375,0.36213103,0.1875,0.22506104,0.03515625,11.671875,2.390625,0.45352772,0.35355338,0.08469027,0.125
