lat,long,var_res30_mean_9x9,building_area_per_pixel_res30_mean_9x9,None_mean_9x9
40.81310667,-73.90916667,2.492571,0.20335963,0.0
40.813045,-73.90918667,2.492571,0.20335963,0.0
40.81297833,-73.909215,2.6884258,0.2053099,0.0
40.81290833,-73.90924167,2.6884258,0.2053099,0.0
40.812845,-73.90925667,2.6884258,0.2053099,0.0
40.81277667,-73.90928,2.6884258,0.2053099,0.0
40.81271,-73.90931167,2.6356134,0.21088558,0.0
40.81264333,-73.90934,2.6356134,0.21088558,0.0
40.81256167,-73.90936333,2.6356134,0.21088558,0.0
40.812485,-73.90938333,2.6356134,0.21088558,0.0
40.81240333,-73.90939333,2.7471628,0.2258881,0.0
40.81233,-73.90942,2.7471628,0.2258881,0.0
40.81223667,-73.90945333,2.7471628,0.2258881,0.0
40.81216333,-73.90947667,2.9812634,0.22279285,0.0
40.81209333,-73.90949333,2.9812634,0.22279285,0.0
40.81203167,-73.90952167,2.9812634,0.22279285,0.0
40.81198167,-73.90953,2.9812634,0.22279285,0.0
40.81194,-73.90954833,2.9812634,0.22279285,0.0
40.8119,-73.90956333,2.6052566,0.23935764,0.0
40.81186333,-73.90958167,2.6052566,0.23935764,0.0
40.81181167,-73.9096,2.6052566,0.23935764,0.0
40.81175333,-73.909615,2.6052566,0.23935764,0.0
40.8117,-73.90963167,2.6052566,0.23935764,0.0
40.81164333,-73.90964667,2.6052566,0.23935764,0.0
40.81157833,-73.90966167,1.7924628,0.23169023,0.0
40.81151,-73.909675,1.7924628,0.23169023,0.0
40.81144167,-73.90969333,1.7924628,0.23169023,0.0
40.81137667,-73.909705,1.7924628,0.23169023,0.0
40.81132,-73.90971333,1.3091727,0.21631485,0.0
40.81123,-73.909745,1.3360281,0.19059858,0.0
40.81120333,-73.909755,1.3360281,0.19059858,0.0
40.81116167,-73.90977,1.3360281,0.19059858,0.0
40.81111833,-73.90978667,1.3360281,0.19059858,0.0
40.81106,-73.90980833,1.0080066,0.2026317,0.0
40.810865,-73.909875,1.0080066,0.2026317,0.0
40.81081,-73.9099,0.9137218,0.18847631,0.0
40.81075333,-73.90992833,0.9137218,0.18847631,0.0
40.810705,-73.909965,0.9137218,0.18847631,0.0
