lat,long,zonedist_level1_res30_mean_9x9,zonedist_level2_res30_mean_9x9,zonedist_level3_res30_mean_9x9,has_residence_res30_mean_9x9,has_manufacture_res30_mean_9x9,has_commercial_res30_mean_9x9,has_park_res30_mean_9x9
40.81310667,-73.90916667,3.0,30.0,111.0,1.0,0.0,0.0,0.0
40.813045,-73.90918667,3.0,30.0,111.0,1.0,0.0,0.0,0.0
40.81297833,-73.909215,2.9382715,28.765432,109.580246,1.0,0.0,0.0,0.061728396
40.81290833,-73.90924167,2.9382715,28.765432,109.580246,1.0,0.0,0.0,0.061728396
40.812845,-73.90925667,2.9382715,28.765432,109.580246,1.0,0.0,0.0,0.061728396
40.81277667,-73.90928,2.9382715,28.765432,109.580246,1.0,0.0,0.0,0.061728396
40.81271,-73.90931167,2.925926,28.518518,109.296295,1.0,0.0,0.0,0.074074075
40.81264333,-73.90934,2.925926,28.518518,109.296295,1.0,0.0,0.0,0.074074075
40.81256167,-73.90936333,2.925926,28.518518,109.296295,1.0,0.0,0.0,0.074074075
40.812485,-73.90938333,2.925926,28.518518,109.296295,1.0,0.0,0.0,0.074074075
40.81240333,-73.90939333,2.9135802,28.271605,109.012344,1.0,0.0,0.0,0.086419754
40.81233,-73.90942,2.9135802,28.271605,109.012344,1.0,0.0,0.0,0.086419754
40.81223667,-73.90945333,2.9135802,28.271605,109.012344,1.0,0.0,0.0,0.086419754
40.81216333,-73.90947667,2.8024693,26.049383,106.45679,0.9382716,0.0,0.0,0.19753087
40.81209333,-73.90949333,2.8024693,26.049383,106.45679,0.9382716,0.0,0.0,0.19753087
40.81203167,-73.90952167,2.8024693,26.049383,106.45679,0.9382716,0.0,0.0,0.19753087
40.81198167,-73.90953,2.8024693,26.049383,106.45679,0.9382716,0.0,0.0,0.19753087
40.81194,-73.90954833,2.8024693,26.049383,106.45679,0.9382716,0.0,0.0,0.19753087
40.8119,-73.90956333,2.7777777,25.555555,105.888885,0.9382716,0.0,0.0,0.22222222
