lat,long,B01_mean_9x9,B02_mean_9x9,B03_mean_9x9,B04_mean_9x9,B05_mean_9x9,B06_mean_9x9,B07_mean_9x9,B08_mean_9x9,B8A_mean_9x9,B09_mean_9x9,B11_mean_9x9,B12_mean_9x9
40.81310667,-73.90916667,966.8148148148148,971.20987654321,1141.925925925926,1230.888888888889,1467.1975308641977,1920.58024691358,2047.0493827160492,2106.0123456790125,2083.8271604938277,2256.0,1871.1975308641972,1597.148148148148
40.813045,-73.90918667,966.8148148148148,971.20987654321,1141.925925925926,1230.888888888889,1467.1975308641977,1920.58024691358,2047.0493827160492,2106.0123456790125,2083.8271604938277,2256.0,1871.1975308641972,1597.148148148148
40.81297833,-73.909215,963.9012345679012,960.3703703703704,1133.2962962962963,1196.9382716049383,1451.5555555555557,2002.358024691358,2178.740740740741,2251.0,2221.061728395062,2299.9753086419755,1855.382716049383,1523.1851851851852
40.81290833,-73.90924167,985.7283950617284,1013.9876543209876,1196.2222222222222,1240.3950617283951,1472.469135802469,2066.5925925925926,2217.8024691358023,2347.246913580247,2289.864197530864,2334.283950617284,1904.111111111111,1516.7654320987654
40.812845,-73.90925667,1007.5555555555557,1036.8271604938273,1211.432098765432,1271.7654320987654,1527.7407407407406,2122.320987654321,2253.716049382716,2368.1604938271603,2332.8271604938277,2368.5925925925926,1986.555555555556,1573.2345679012346
40.81277667,-73.90928,1007.5555555555557,1036.8271604938273,1211.432098765432,1271.7654320987654,1527.7407407407406,2122.320987654321,2253.716049382716,2368.1604938271603,2332.8271604938277,2368.5925925925926,1986.555555555556,1573.2345679012346
40.81271,-73.90931167,960.0864197530864,966.8641975308642,1138.1728395061727,1193.641975308642,1468.4814814814815,2045.9259259259256,2212.333333333333,2281.1604938271603,2281.901234567901,2412.9506172839506,1965.753086419753,1585.20987654321
40.81264333,-73.90934,1003.1358024691358,1094.4444444444443,1261.679012345679,1328.358024691358,1578.358024691358,2075.716049382716,2235.185185185185,2306.962962962963,2285.456790123457,2422.8271604938277,2070.703703703704,1717.7654320987654
40.81256167,-73.90936333,1051.382716049383,1234.4074074074074,1404.5555555555557,1481.5061728395062,1729.5185185185185,2171.382716049383,2284.0493827160494,2370.4691358024693,2340.098765432099,2433.740740740741,2232.1481481481483,1878.703703703704
40.812485,-73.90938333,1047.074074074074,1280.6666666666667,1446.7777777777778,1533.679012345679,1783.9012345679012,2187.4074074074074,2262.9135802469136,2327.604938271605,2346.135802469136,2465.83950617284,2293.703703703704,1928.8271604938277
40.81240333,-73.90939333,1047.074074074074,1280.6666666666667,1446.7777777777778,1533.679012345679,1783.9012345679012,2187.4074074074074,2262.9135802469136,2327.604938271605,2346.135802469136,2465.83950617284,2293.703703703704,1928.8271604938277
40.81233,-73.90942,1104.111111111111,1439.2345679012346,1598.9382716049383,1709.20987654321,1936.7654320987651,2259.8271604938277,2337.5925925925926,2416.5925925925926,2391.6666666666665,2471.604938271605,2425.5925925925926,2064.777777777778
40.81223667,-73.90945333,1161.148148148148,1539.074074074074,1688.111111111111,1816.3333333333333,2012.3086419753083,2286.432098765432,2355.679012345679,2423.604938271605,2405.358024691358,2477.3703703703704,2502.6913580246915,2148.901234567901
40.81216333,-73.90947667,1118.5185185185185,1502.79012345679,1636.567901234568,1761.1604938271605,1953.5061728395065,2216.6543209876545,2267.703703703704,2277.1604938271603,2311.5925925925926,2491.740740740741,2448.358024691358,2079.0123456790125
40.81209333,-73.90949333,1142.9753086419753,1529.3333333333333,1657.3086419753083,1783.617283950617,1969.4938271604935,2219.567901234568,2278.074074074074,2283.234567901234,2302.3703703703704,2485.0493827160494,2468.456790123457,2105.4691358024693
40.81203167,-73.90952167,1167.432098765432,1548.8395061728395,1676.888888888889,1795.1975308641977,1967.9506172839504,2187.5308641975307,2274.5308641975307,2272.222222222222,2286.3086419753085,2478.358024691358,2479.9135802469136,2138.432098765432
40.81198167,-73.90953,1167.432098765432,1548.8395061728395,1676.888888888889,1795.1975308641977,1967.9506172839504,2187.5308641975307,2274.5308641975307,2272.222222222222,2286.3086419753085,2478.358024691358,2479.9135802469136,2138.432098765432
40.81194,-73.90954833,1151.358024691358,1554.4074074074074,1678.037037037037,1801.3950617283951,1951.283950617284,2179.4444444444443,2269.061728395062,2279.8024691358023,2302.222222222222,2445.185185185185,2481.753086419753,2139.1975308641977
40.8119,-73.90956333,1099.432098765432,1517.1975308641977,1666.7037037037037,1778.1604938271605,1910.9135802469136,2132.234567901234,2208.58024691358,2253.4814814814813,2237.074074074074,2462.6543209876545,2404.3703703703704,2039.530864197531
40.81186333,-73.90958167,1099.432098765432,1517.1975308641977,1666.7037037037037,1778.1604938271605,1910.9135802469136,2132.234567901234,2208.58024691358,2253.4814814814813,2237.074074074074,2462.6543209876545,2404.3703703703704,2039.530864197531
40.81181167,-73.9096,1088.283950617284,1475.9753086419753,1632.1728395061727,1734.8148148148148,1876.703703703704,2139.938271604938,2229.8271604938277,2309.358024691358,2277.567901234568,2432.9135802469136,2436.037037037037,2058.938271604938
40.81175333,-73.909615,1077.1358024691358,1393.1851851851852,1548.382716049383,1646.0,1767.9506172839506,2078.0493827160494,2204.5925925925926,2333.679012345679,2262.851851851852,2403.1728395061727,2389.6296296296296,2044.20987654321
40.8117,-73.90963167,1077.1358024691358,1393.1851851851852,1548.382716049383,1646.0,1767.9506172839506,2078.0493827160494,2204.5925925925926,2333.679012345679,2262.851851851852,2403.1728395061727,2389.6296296296296,2044.20987654321
40.81164333,-73.90964667,1007.2716049382716,1225.79012345679,1370.617283950617,1459.0987654320988,1647.5925925925926,2030.1975308641972,2193.1975308641977,2298.9135802469136,2274.3086419753085,2411.1111111111118,2306.246913580247,1975.358024691358
40.81157833,-73.90966167,979.4814814814816,1087.4567901234568,1235.5061728395062,1313.4814814814815,1542.3456790123455,1984.6543209876545,2144.4444444444443,2206.617283950617,2271.5061728395062,2394.716049382716,2267.938271604938,1963.530864197531
40.81151,-73.909675,979.4814814814816,1087.4567901234568,1235.5061728395062,1313.4814814814815,1542.3456790123455,1984.6543209876545,2144.4444444444443,2206.617283950617,2271.5061728395062,2394.716049382716,2267.938271604938,1963.530864197531
40.81144167,-73.90969333,951.6913580246912,1001.3703703703704,1151.0246913580247,1216.9506172839506,1447.9135802469136,1930.703703703704,2083.4814814814813,2185.0864197530864,2246.3086419753085,2378.320987654321,2241.1111111111118,1958.753086419753
40.81137667,-73.909705,914.7407407407408,962.641975308642,1111.3333333333333,1184.1851851851852,1403.432098765432,1894.8271604938277,2063.5308641975307,2189.0864197530864,2242.5308641975307,2348.234567901234,2244.962962962963,1969.20987654321
40.81132,-73.90971333,914.7407407407408,962.641975308642,1111.3333333333333,1184.1851851851852,1403.432098765432,1894.8271604938277,2063.5308641975307,2189.0864197530864,2242.5308641975307,2348.234567901234,2244.962962962963,1969.20987654321
40.81123,-73.909745,849.1481481481482,912.9629629629628,1072.7407407407406,1117.283950617284,1359.7777777777778,1939.7407407407409,2141.185185185185,2270.345679012345,2320.432098765432,2363.0864197530864,2198.0493827160494,1891.0
