lat,long,var_res30_mean_51x51,building_area_per_pixel_res30_mean_51x51,None_mean_51x51
40.81310667,-73.90916667,1.1659006,0.17727852,0.0
40.813045,-73.90918667,1.1659006,0.17727852,0.0
40.81297833,-73.909215,1.1784719,0.1776047,0.0
40.81290833,-73.90924167,1.1784719,0.1776047,0.0
40.812845,-73.90925667,1.1784719,0.1776047,0.0
40.81277667,-73.90928,1.1784719,0.1776047,0.0
40.81271,-73.90931167,1.163885,0.17656082,0.0
40.81264333,-73.90934,1.163885,0.17656082,0.0
40.81256167,-73.90936333,1.163885,0.17656082,0.0
40.812485,-73.90938333,1.163885,0.17656082,0.0
40.81240333,-73.90939333,1.1503638,0.17582504,0.0
40.81233,-73.90942,1.1503638,0.17582504,0.0
40.81223667,-73.90945333,1.1503638,0.17582504,0.0
40.81216333,-73.90947667,1.1511072,0.17674786,0.0
40.81209333,-73.90949333,1.1511072,0.17674786,0.0
40.81203167,-73.90952167,1.1511072,0.17674786,0.0
40.81198167,-73.90953,1.1511072,0.17674786,0.0
40.81194,-73.90954833,1.1511072,0.17674786,0.0
40.8119,-73.90956333,1.1515,0.17738883,0.0
40.81186333,-73.90958167,1.1515,0.17738883,0.0
40.81181167,-73.9096,1.1515,0.17738883,0.0
40.81175333,-73.909615,1.1515,0.17738883,0.0
40.8117,-73.90963167,1.1515,0.17738883,0.0
40.81164333,-73.90964667,1.1515,0.17738883,0.0
40.81157833,-73.90966167,1.1465831,0.17926143,0.0
40.81151,-73.909675,1.1465831,0.17926143,0.0
40.81144167,-73.90969333,1.1465831,0.17926143,0.0
40.81137667,-73.909705,1.1465831,0.17926143,0.0
40.81132,-73.90971333,1.1457568,0.18288416,0.0
40.81123,-73.909745,1.1636329,0.18513459,0.0
40.81120333,-73.909755,1.1636329,0.18513459,0.0
40.81116167,-73.90977,1.1636329,0.18513459,0.0
40.81111833,-73.90978667,1.1636329,0.18513459,0.0
40.81106,-73.90980833,1.1544518,0.18674895,0.0
40.810865,-73.909875,1.1544518,0.18674895,0.0
40.81081,-73.9099,1.1471094,0.18775603,0.0
40.81075333,-73.90992833,1.1471094,0.18775603,0.0
40.810705,-73.909965,1.1471094,0.18775603,0.0
40.81062833,-73.90995167,1.1471094,0.18775603,0.0
40.8106,-73.90991333,1.1471094,0.18775603,0.0
40.810515,-73.90974333,1.1194826,0.18752903,0.0
40.810495,-73.90966667,1.1034089,0.18556647,0.0
40.81047333,-73.90959167,1.1034089,0.18556647,0.0
40.810445,-73.90951833,1.1034089,0.18556647,0.0
40.81042333,-73.90944,1.0898964,0.18461286,0.0
40.8104,-73.909385,1.0898964,0.18461286,0.0
40.81038,-73.909345,1.0898964,0.18461286,0.0
40.81033333,-73.90925333,1.0898964,0.18461286,0.0
40.81030667,-73.90922333,1.0898964,0.18461286,0.0
40.81029333,-73.90917333,1.0841161,0.18328643,0.0
40.81028,-73.90911833,1.0626676,0.18440254,0.0
