lat,long,var_res30_contrast_51x51,var_res30_dissimilarity_51x51,var_res30_homogeneity_51x51,var_res30_energy_51x51,var_res30_correlation_51x51,var_res30_ASM_51x51,building_area_per_pixel_res30_contrast_51x51,building_area_per_pixel_res30_dissimilarity_51x51,building_area_per_pixel_res30_homogeneity_51x51,building_area_per_pixel_res30_energy_51x51,building_area_per_pixel_res30_correlation_51x51,building_area_per_pixel_res30_ASM_51x51,None_contrast_51x51,None_dissimilarity_51x51,None_homogeneity_51x51,None_energy_51x51,None_correlation_51x51,None_ASM_51x51
40.81310667,-73.90916667,0.0,0.0,1.0,1.0,1.0,1.0,3.3876,1.2292,0.58185107,0.38711807,0.15153678,0.1498604,0.0,0.0,1.0,1.0,1.0,1.0
40.813045,-73.90918667,0.0,0.0,1.0,1.0,1.0,1.0,3.3876,1.2292,0.58185107,0.38711807,0.15153678,0.1498604,0.0,0.0,1.0,1.0,1.0,1.0
40.81297833,-73.909215,0.0,0.0,1.0,1.0,1.0,1.0,3.3768,1.22,0.5860196,0.3895007,0.15657891,0.1517108,0.0,0.0,1.0,1.0,1.0,1.0
40.81290833,-73.90924167,0.0,0.0,1.0,1.0,1.0,1.0,3.3768,1.22,0.5860196,0.3895007,0.15657891,0.1517108,0.0,0.0,1.0,1.0,1.0,1.0
40.812845,-73.90925667,0.0,0.0,1.0,1.0,1.0,1.0,3.3768,1.22,0.5860196,0.3895007,0.15657891,0.1517108,0.0,0.0,1.0,1.0,1.0,1.0
40.81277667,-73.90928,0.0,0.0,1.0,1.0,1.0,1.0,3.3768,1.22,0.5860196,0.3895007,0.15657891,0.1517108,0.0,0.0,1.0,1.0,1.0,1.0
40.81271,-73.90931167,0.0,0.0,1.0,1.0,1.0,1.0,3.3864,1.2152,0.5893774,0.39548096,0.1568761,0.1564052,0.0,0.0,1.0,1.0,1.0,1.0
40.81264333,-73.90934,0.0,0.0,1.0,1.0,1.0,1.0,3.3864,1.2152,0.5893774,0.39548096,0.1568761,0.1564052,0.0,0.0,1.0,1.0,1.0,1.0
40.81256167,-73.90936333,0.0,0.0,1.0,1.0,1.0,1.0,3.3864,1.2152,0.5893774,0.39548096,0.1568761,0.1564052,0.0,0.0,1.0,1.0,1.0,1.0
40.812485,-73.90938333,0.0,0.0,1.0,1.0,1.0,1.0,3.3864,1.2152,0.5893774,0.39548096,0.1568761,0.1564052,0.0,0.0,1.0,1.0,1.0,1.0
