lat,long,sentinel_2_ndvi_mean_3x3,sentinel_2_evi_mean_3x3,sentinel_2_savi_mean_3x3,sentinel_2_gndvi_mean_3x3,sentinel_2_arvi_mean_3x3,sentinel_2_msavi_mean_3x3,sentinel_2_ndwi_mean_3x3,sentinel_2_awei_nsh_mean_3x3,sentinel_2_awei_sh_mean_3x3,sentinel_2_ndsi_mean_3x3,sentinel_2_nbr_mean_3x3,sentinel_2_si_mean_3x3,sentinel_2_ndbi_mean_3x3,sentinel_2_ui_mean_3x3,sentinel_2_ibi_mean_3x3,sentinel_2_albedo_mean_3x3
40.81310667,-73.90916667,0.3005098534091169,1.1274977425150103,0.4506816227764911,0.3278004224342584,0.2197922227104539,0.4373264497494347,-0.3278004224342714,-6554.527777777777,911.1111111111112,-0.2943136065529926,0.1402276935451658,0.3680155983356602,-0.0431484894069649,0.2684626631842431,7.019750356613794,1225.8826552930884
40.813045,-73.90918667,0.3005098534091169,1.1274977425150103,0.4506816227764911,0.3278004224342584,0.2197922227104539,0.4373264497494347,-0.3278004224342714,-6554.527777777777,911.1111111111112,-0.2943136065529926,0.1402276935451658,0.3680155983356602,-0.0431484894069649,0.2684626631842431,7.019750356613794,1225.8826552930884
40.81297833,-73.909215,0.4453998403376507,1.4293851285026602,0.6679834076383098,0.436723916627717,0.3628319352258312,0.6044878596539497,-0.4367239166277323,-6845.888888888889,1667.4722222222222,-0.32661833958353,0.2471391268283266,0.4456030878995711,-0.1330908811580934,0.3382544432428989,-1.9745395969234096,1269.8561898512687
40.81290833,-73.90924167,0.4312540120894061,1.4075469910251703,0.646771788850527,0.4270921535997388,0.3531250326050127,0.57883195423109,-0.4270921535997534,-7110.416666666667,1633.2777777777778,-0.3355971265795802,0.2327658306457062,0.4460630294464421,-0.1159677056091638,0.3454586217901388,-1.5324138460084515,1304.3885608048995
40.812845,-73.90925667,0.4252835683470841,1.5511594241782314,0.637827553385062,0.4111170563911359,0.3612585598090966,0.5595795702765574,-0.4111170563911485,-8021.222222222223,1814.5833333333333,-0.3299469813328654,0.2279131184774061,0.4329621686914767,-0.1090486013054135,0.3512100965192432,-1.013230658884329,1522.9753937007872
40.81277667,-73.90928,0.4252835683470841,1.5511594241782314,0.637827553385062,0.4111170563911359,0.3612585598090966,0.5595795702765574,-0.4111170563911485,-8021.222222222223,1814.5833333333333,-0.3299469813328654,0.2279131184774061,0.4329621686914767,-0.1090486013054135,0.3512100965192432,-1.013230658884329,1522.9753937007872
40.81271,-73.90931167,0.5717204764799183,1.8100098352021363,0.8574675916048239,0.5471422811423985,0.5085699542737545,0.719698706908831,-0.5471422811424126,-8848.638888888889,3159.25,-0.3844698805554964,0.3424151940340026,0.5054313696104779,-0.2160079105551193,0.4166365190812657,-2.672870865407357,1674.7528433945754
40.81264333,-73.90934,0.495310602034119,1.5776542634409425,0.7428667898896798,0.498276508019063,0.4203817221217489,0.6484113507046914,-0.4982765080190764,-9389.472222222224,2345.9444444444443,-0.3863464860621904,0.2697738480913438,0.4815781176360638,-0.1519566448002971,0.3820588880620082,-2.368750837294189,1667.7017716535431
40.81256167,-73.90936333,0.425261293739081,1.4822049488343685,0.6377991077983194,0.4374083228840039,0.3515260126414354,0.5804803090852096,-0.4374083228840169,-9363.416666666666,1375.0555555555557,-0.3787089818124396,0.1951699899208668,0.4542659083736076,-0.0811850248855263,0.3639351642758444,-1.584410141603072,1562.3346456692914
40.812485,-73.90938333,0.4641088432129362,1.7752464820425244,0.696061281762084,0.4565609356880153,0.3975501555773283,0.629412059132038,-0.4565609356880288,-10536.944444444443,1086.3333333333333,-0.4024628629192399,0.1516599964503,0.4945842250565454,-0.068603638953393,0.4116135820567534,-1.5209440986188223,1601.6502624671914
40.81240333,-73.90939333,0.4641088432129362,1.7752464820425244,0.696061281762084,0.4565609356880153,0.3975501555773283,0.629412059132038,-0.4565609356880288,-10536.944444444443,1086.3333333333333,-0.4024628629192399,0.1516599964503,0.4945842250565454,-0.068603638953393,0.4116135820567534,-1.5209440986188223,1601.6502624671914
40.81233,-73.90942,0.3672925820761783,1.5954320005445035,0.550853416901534,0.3701877438467063,0.3029139931804299,0.5225255876999755,-0.3701877438467178,-10776.027777777776,35.52777777777778,-0.3840285663206033,0.0458499842263792,0.4569859624477861,0.0102286288973436,0.3826379373726504,-0.2750277060920343,1534.8114610673665
40.81223667,-73.90945333,0.2600157922144347,1.4268403987854437,0.3899591579635034,0.253794857410164,0.1968821870140125,0.4043527622489414,-0.2537948574101724,-11774.472222222224,-1312.5,-0.3597052105937576,-0.07499983253741,0.4309803727734214,0.1128781152953832,0.3637949706436492,0.8754529762190164,1538.672900262467
