lat,long,surface_elevation_res100_mean_3x3
40.81310667,-73.90916667,33.982555
40.813045,-73.90918667,33.982555
40.81297833,-73.909215,33.982555
40.81290833,-73.90924167,33.982555
40.812845,-73.90925667,33.982555
40.81277667,-73.90928,33.982555
40.81271,-73.90931167,33.982555
40.81264333,-73.90934,33.982555
40.81256167,-73.90936333,33.982555
40.812485,-73.90938333,33.982555
40.81240333,-73.90939333,33.982555
40.81233,-73.90942,33.982555
40.81223667,-73.90945333,34.65365
40.81216333,-73.90947667,34.65365
40.81209333,-73.90949333,34.65365
40.81203167,-73.90952167,34.65365
40.81198167,-73.90953,34.65365
40.81194,-73.90954833,34.65365
40.8119,-73.90956333,34.65365
40.81186333,-73.90958167,34.65365
40.81181167,-73.9096,34.65365
40.81175333,-73.909615,34.65365
40.8117,-73.90963167,34.65365
40.81164333,-73.90964667,34.65365
40.81157833,-73.90966167,34.65365
40.81151,-73.909675,34.65365
40.81144167,-73.90969333,34.65365
40.81137667,-73.909705,35.298298
40.81132,-73.90971333,35.298298
40.81123,-73.909745,35.298298
40.81120333,-73.909755,35.298298
40.81116167,-73.90977,35.298298
40.81111833,-73.90978667,35.298298
40.81106,-73.90980833,35.298298
40.810865,-73.909875,35.298298
40.81081,-73.9099,35.298298
40.81075333,-73.90992833,35.298298
40.810705,-73.909965,35.298298
40.81062833,-73.90995167,35.298298
40.8106,-73.90991333,35.298298
40.810515,-73.90974333,33.526596
40.810495,-73.90966667,33.526596
40.81047333,-73.90959167,33.526596
40.810445,-73.90951833,33.526596
40.81042333,-73.90944,33.526596
40.8104,-73.909385,33.526596
40.81038,-73.909345,33.526596
40.81033333,-73.90925333,33.526596
40.81030667,-73.90922333,33.526596
40.81029333,-73.90917333,33.526596
40.81028,-73.90911833,33.526596
40.81026167,-73.909055,31.0336
40.81023833,-73.90897833,31.0336
40.81021833,-73.908895,31.0336
40.81017333,-73.90871333,31.0336
40.810155,-73.90862167,31.0336
40.81013833,-73.90853667,31.0336
40.81012667,-73.90847,31.0336
40.810125,-73.90843167,31.0336
40.81009667,-73.90818333,29.174503
40.81007833,-73.9081,29.174503
40.81006,-73.90800833,29.174503
40.81004,-73.90791833,29.174503
40.810025,-73.90782333,29.174503
40.80997833,-73.907525,29.174503
40.809905,-73.90740667,29.174503
40.80987,-73.90739667,29.174503
40.80982833,-73.90739833,29.174503
40.80977667,-73.90741167,29.174503
40.80964333,-73.907465,25.743034
40.80957167,-73.90749167,25.743034
40.80950167,-73.90751833,25.743034
40.80944167,-73.90753833,25.743034
40.80939833,-73.90755,25.743034
40.80920333,-73.90761333,25.743034
40.80913833,-73.90763833,25.743034
40.80906667,-73.90766,25.743034
40.80899,-73.90768,25.743034
40.80891167,-73.90770167,25.743034
40.808825,-73.90772667,25.743034
40.808735,-73.90775667,24.611244
40.80864333,-73.907785,24.611244
40.80855,-73.90781833,24.611244
40.80845667,-73.90785667,24.611244
40.80836,-73.90789333,24.611244
40.80826167,-73.90792833,24.611244
40.80806667,-73.90800833,24.611244
40.80797667,-73.90802667,24.611244
40.807885,-73.90804667,24.611244
40.80778833,-73.90808667,30.809011
40.80769167,-73.90813,30.809011
40.80759667,-73.90817333,30.809011
40.8075,-73.90821333,30.809011
40.80741333,-73.908245,27.292793
40.80732833,-73.90827,27.292793
40.80723833,-73.90829833,27.292793
40.80704833,-73.90836333,27.292793
40.806955,-73.90839667,26.867586
40.80687167,-73.90842833,26.867586
40.80679667,-73.908455,26.867586
40.80674,-73.90848,26.867586
40.80669667,-73.90849667,26.867586
40.80663333,-73.90853,26.867586
40.80654167,-73.90859333,26.867586
40.80648333,-73.90863333,26.867586
40.80643,-73.908675,26.867586
40.80638833,-73.90871333,26.867586
40.80634667,-73.90875333,26.867586
40.80631167,-73.9088,26.867586
40.80628333,-73.90885167,26.867586
40.80626,-73.90889833,26.867586
40.80624833,-73.90893667,26.867586
40.80624333,-73.90896333,26.867586
40.80621667,-73.909165,30.956753
40.806185,-73.909225,30.956753
40.80615,-73.90930167,30.956753
40.80609667,-73.90947667,30.956753
40.80606833,-73.90954667,26.696632
40.80603667,-73.909595,26.696632
40.80601333,-73.90964667,26.696632
40.80599,-73.9097,26.696632
40.80597167,-73.90976,26.696632
40.80591167,-73.90987167,26.696632
40.80590333,-73.90990833,26.696632
40.805895,-73.90994667,26.696632
40.80588667,-73.90998333,26.696632
40.80574833,-73.910005,32.20388
40.80571167,-73.90990833,26.696632
40.80562667,-73.90979167,26.696632
40.80555333,-73.90964,26.696632
40.80539,-73.90940833,26.696632
40.80531333,-73.90931,26.696632
40.80523667,-73.90921167,26.696632
40.80516667,-73.90911833,20.585342
40.80509833,-73.90902667,13.84654
40.80503167,-73.90895333,13.84654
40.80498833,-73.90889167,13.84654
40.804955,-73.90883167,13.84654
40.80489167,-73.90870167,13.84654
40.80486167,-73.90863833,13.84654
40.80483667,-73.90858,13.84654
40.804815,-73.90852667,13.84654
40.80479667,-73.90847333,13.84654
40.80478,-73.90842333,13.84654
40.80476667,-73.90837333,13.84654
40.80474,-73.908315,13.84654
40.80463667,-73.90824,13.84654
40.804555,-73.90812,11.143329
40.80449833,-73.90805,11.143329
40.80446,-73.90797167,11.143329
40.80441167,-73.90789,11.143329
40.80431833,-73.90774667,11.143329
40.804275,-73.90767833,7.556645
40.804235,-73.907605,7.556645
40.80420833,-73.907515,7.556645
40.804175,-73.90745167,7.556645
40.804135,-73.90736167,7.556645
40.80409667,-73.90721833,7.8572593
40.80413667,-73.90718,7.8572593
40.80417833,-73.907135,7.8572593
40.80422333,-73.90709,7.8572593
40.80427167,-73.90704333,7.8572593
40.80432667,-73.906985,8.900307
40.80438,-73.90693,8.900307
40.80442667,-73.906875,8.900307
40.80446833,-73.90682833,8.900307
40.8045,-73.90678333,8.900307
40.80451333,-73.90674167,8.900307
40.80451,-73.9067,8.900307
40.80448833,-73.90665667,8.900307
40.80445333,-73.90660667,8.900307
40.80441167,-73.90655667,8.900307
40.80436667,-73.90649,8.900307
40.80432333,-73.906415,12.057916
40.804275,-73.90633,9.349319
40.80422333,-73.90624167,9.349319
40.80412,-73.90606,9.349319
40.80407,-73.90597,9.349319
40.80394333,-73.90573333,9.349319
40.803915,-73.90568167,9.349319
40.80389167,-73.90563,9.349319
40.803875,-73.90562667,9.349319
40.80382333,-73.905605,9.349319
40.803785,-73.90562833,9.349319
40.80373833,-73.90566833,9.349319
40.80368667,-73.90572167,9.349319
40.80363333,-73.90577667,9.349319
40.80357833,-73.90583167,9.349319
40.80352833,-73.90588333,9.349319
40.80348333,-73.90592667,9.349319
40.80344333,-73.90596667,9.349319
