lat,long,var_res100,building_area_per_pixel_res100
40.81310667,-73.90916667,2.5707498,0.11890229
40.813045,-73.90918667,2.5707498,0.11890229
40.81297833,-73.909215,2.5707498,0.11890229
40.81290833,-73.90924167,2.5707498,0.11890229
40.812845,-73.90925667,2.5707498,0.11890229
40.81277667,-73.90928,2.5707498,0.11890229
40.81271,-73.90931167,2.5707498,0.11890229
40.81264333,-73.90934,2.5707498,0.11890229
40.81256167,-73.90936333,2.5707498,0.11890229
40.812485,-73.90938333,2.5707498,0.11890229
40.81240333,-73.90939333,2.5707498,0.11890229
40.81233,-73.90942,2.5707498,0.11890229
40.81223667,-73.90945333,1.3130853,0.30697793
40.81216333,-73.90947667,1.3130853,0.30697793
40.81209333,-73.90949333,1.3130853,0.30697793
40.81203167,-73.90952167,1.3130853,0.30697793
40.81198167,-73.90953,1.3130853,0.30697793
40.81194,-73.90954833,1.3130853,0.30697793
40.8119,-73.90956333,1.3130853,0.30697793
40.81186333,-73.90958167,1.3130853,0.30697793
40.81181167,-73.9096,1.3130853,0.30697793
40.81175333,-73.909615,1.3130853,0.30697793
40.8117,-73.90963167,1.3130853,0.30697793
40.81164333,-73.90964667,1.3130853,0.30697793
40.81157833,-73.90966167,1.3130853,0.30697793
40.81151,-73.909675,1.3130853,0.30697793
40.81144167,-73.90969333,1.3130853,0.30697793
40.81137667,-73.909705,0.95694447,0.45084363
40.81132,-73.90971333,0.95694447,0.45084363
40.81123,-73.909745,0.95694447,0.45084363
40.81120333,-73.909755,0.95694447,0.45084363
40.81116167,-73.90977,0.95694447,0.45084363
40.81111833,-73.90978667,0.95694447,0.45084363
40.81106,-73.90980833,0.95694447,0.45084363
40.810865,-73.909875,0.95694447,0.45084363
40.81081,-73.9099,0.95694447,0.45084363
40.81075333,-73.90992833,0.95694447,0.45084363
40.810705,-73.909965,0.95694447,0.45084363
40.81062833,-73.90995167,0.95694447,0.45084363
40.8106,-73.90991333,0.95694447,0.45084363
40.810515,-73.90974333,0.81649303,0.24112917
40.810495,-73.90966667,0.81649303,0.24112917
40.81047333,-73.90959167,0.81649303,0.24112917
40.810445,-73.90951833,0.81649303,0.24112917
40.81042333,-73.90944,0.81649303,0.24112917
40.8104,-73.909385,0.81649303,0.24112917
40.81038,-73.909345,0.81649303,0.24112917
40.81033333,-73.90925333,0.81649303,0.24112917
40.81030667,-73.90922333,0.81649303,0.24112917
40.81029333,-73.90917333,0.81649303,0.24112917
40.81028,-73.90911833,0.81649303,0.24112917
40.81026167,-73.909055,0.7613636,0.22626007
40.81023833,-73.90897833,0.7613636,0.22626007
40.81021833,-73.908895,0.7613636,0.22626007
40.81017333,-73.90871333,0.7613636,0.22626007
40.810155,-73.90862167,0.7613636,0.22626007
40.81013833,-73.90853667,0.7613636,0.22626007
40.81012667,-73.90847,0.7613636,0.22626007
40.810125,-73.90843167,0.7613636,0.22626007
40.81009667,-73.90818333,0.7775375,0.3526937
40.81007833,-73.9081,0.7775375,0.3526937
40.81006,-73.90800833,0.7775375,0.3526937
40.81004,-73.90791833,0.7775375,0.3526937
40.810025,-73.90782333,0.7775375,0.3526937
40.80997833,-73.907525,0.7775375,0.3526937
40.809905,-73.90740667,0.7775375,0.3526937
40.80987,-73.90739667,0.7775375,0.3526937
40.80982833,-73.90739833,0.7775375,0.3526937
40.80977667,-73.90741167,0.7775375,0.3526937
40.80964333,-73.907465,0.7406383,0.23266709
40.80957167,-73.90749167,0.7406383,0.23266709
40.80950167,-73.90751833,0.7406383,0.23266709
40.80944167,-73.90753833,0.7406383,0.23266709
40.80939833,-73.90755,0.7406383,0.23266709
40.80920333,-73.90761333,0.7406383,0.23266709
40.80913833,-73.90763833,0.7406383,0.23266709
40.80906667,-73.90766,0.7406383,0.23266709
40.80899,-73.90768,0.7406383,0.23266709
40.80891167,-73.90770167,0.7406383,0.23266709
40.808825,-73.90772667,0.7406383,0.23266709
40.808735,-73.90775667,1.1121752,0.27372098
40.80864333,-73.907785,1.1121752,0.27372098
40.80855,-73.90781833,1.1121752,0.27372098
40.80845667,-73.90785667,1.1121752,0.27372098
40.80836,-73.90789333,1.1121752,0.27372098
40.80826167,-73.90792833,1.1121752,0.27372098
40.80806667,-73.90800833,1.1121752,0.27372098
40.80797667,-73.90802667,1.1121752,0.27372098
40.807885,-73.90804667,1.1121752,0.27372098
40.80778833,-73.90808667,0.9844118,0.019998696
40.80769167,-73.90813,0.9844118,0.019998696
40.80759667,-73.90817333,0.9844118,0.019998696
40.8075,-73.90821333,0.9844118,0.019998696
40.80741333,-73.908245,1.0135479,0.17741229
40.80732833,-73.90827,1.0135479,0.17741229
40.80723833,-73.90829833,1.0135479,0.17741229
40.80704833,-73.90836333,1.0135479,0.17741229
40.806955,-73.90839667,2.6469445,1.7566174e-06
40.80687167,-73.90842833,2.6469445,1.7566174e-06
40.80679667,-73.908455,2.6469445,1.7566174e-06
40.80674,-73.90848,2.6469445,1.7566174e-06
40.80669667,-73.90849667,2.6469445,1.7566174e-06
40.80663333,-73.90853,2.6469445,1.7566174e-06
40.80654167,-73.90859333,2.6469445,1.7566174e-06
40.80648333,-73.90863333,2.6469445,1.7566174e-06
40.80643,-73.908675,2.6469445,1.7566174e-06
40.80638833,-73.90871333,2.6469445,1.7566174e-06
40.80634667,-73.90875333,2.6469445,1.7566174e-06
40.80631167,-73.9088,2.6469445,1.7566174e-06
40.80628333,-73.90885167,2.6469445,1.7566174e-06
40.80626,-73.90889833,2.6469445,1.7566174e-06
40.80624833,-73.90893667,2.6469445,1.7566174e-06
40.80624333,-73.90896333,2.6469445,1.7566174e-06
40.80621667,-73.909165,0.0,0.0
40.806185,-73.909225,0.0,0.0
40.80615,-73.90930167,0.0,0.0
40.80609667,-73.90947667,0.0,0.0
40.80606833,-73.90954667,0.69802886,0.022445185
40.80603667,-73.909595,0.69802886,0.022445185
40.80601333,-73.90964667,0.69802886,0.022445185
40.80599,-73.9097,0.69802886,0.022445185
40.80597167,-73.90976,0.69802886,0.022445185
40.80591167,-73.90987167,0.69802886,0.022445185
40.80590333,-73.90990833,0.69802886,0.022445185
40.805895,-73.90994667,0.69802886,0.022445185
40.80588667,-73.90998333,0.69802886,0.022445185
40.80574833,-73.910005,0.56743824,0.048417654
40.80571167,-73.90990833,0.69802886,0.022445185
40.80562667,-73.90979167,0.69802886,0.022445185
40.80555333,-73.90964,0.69802886,0.022445185
40.80539,-73.90940833,0.69802886,0.022445185
40.80531333,-73.90931,0.69802886,0.022445185
40.80523667,-73.90921167,0.69802886,0.022445185
40.80516667,-73.90911833,0.77171403,0.5389982
40.80509833,-73.90902667,0.8695522,0.24576467
40.80503167,-73.90895333,0.8695522,0.24576467
40.80498833,-73.90889167,0.8695522,0.24576467
40.804955,-73.90883167,0.8695522,0.24576467
40.80489167,-73.90870167,0.8695522,0.24576467
40.80486167,-73.90863833,0.8695522,0.24576467
40.80483667,-73.90858,0.8695522,0.24576467
40.804815,-73.90852667,0.8695522,0.24576467
40.80479667,-73.90847333,0.8695522,0.24576467
40.80478,-73.90842333,0.8695522,0.24576467
40.80476667,-73.90837333,0.8695522,0.24576467
40.80474,-73.908315,0.8695522,0.24576467
40.80463667,-73.90824,0.8695522,0.24576467
40.804555,-73.90812,0.9289208,0.2902352
40.80449833,-73.90805,0.9289208,0.2902352
40.80446,-73.90797167,0.9289208,0.2902352
40.80441167,-73.90789,0.9289208,0.2902352
40.80431833,-73.90774667,0.9289208,0.2902352
40.804275,-73.90767833,1.05747,0.461109
40.804235,-73.907605,1.05747,0.461109
40.80420833,-73.907515,1.05747,0.461109
40.804175,-73.90745167,1.05747,0.461109
40.804135,-73.90736167,1.05747,0.461109
40.80409667,-73.90721833,0.8910949,0.4811156
40.80413667,-73.90718,0.8910949,0.4811156
40.80417833,-73.907135,0.8910949,0.4811156
40.80422333,-73.90709,0.8910949,0.4811156
40.80427167,-73.90704333,0.8910949,0.4811156
40.80432667,-73.906985,0.9718634,0.3977342
40.80438,-73.90693,0.9718634,0.3977342
40.80442667,-73.906875,0.9718634,0.3977342
40.80446833,-73.90682833,0.9718634,0.3977342
40.8045,-73.90678333,0.9718634,0.3977342
40.80451333,-73.90674167,0.9718634,0.3977342
40.80451,-73.9067,0.9718634,0.3977342
