lat,long,surface_elevation_res100
40.81310667,-73.90916667,33.281593
40.813045,-73.90918667,33.281593
40.81297833,-73.909215,33.281593
40.81290833,-73.90924167,33.281593
40.812845,-73.90925667,33.281593
40.81277667,-73.90928,33.281593
40.81271,-73.90931167,33.281593
40.81264333,-73.90934,33.281593
40.81256167,-73.90936333,33.281593
40.812485,-73.90938333,33.281593
40.81240333,-73.90939333,33.281593
40.81233,-73.90942,33.281593
40.81223667,-73.90945333,32.927162
40.81216333,-73.90947667,32.927162
40.81209333,-73.90949333,32.927162
40.81203167,-73.90952167,32.927162
40.81198167,-73.90953,32.927162
40.81194,-73.90954833,32.927162
40.8119,-73.90956333,32.927162
40.81186333,-73.90958167,32.927162
40.81181167,-73.9096,32.927162
40.81175333,-73.909615,32.927162
40.8117,-73.90963167,32.927162
40.81164333,-73.90964667,32.927162
40.81157833,-73.90966167,32.927162
40.81151,-73.909675,32.927162
40.81144167,-73.90969333,32.927162
40.81137667,-73.909705,31.127127
40.81132,-73.90971333,31.127127
40.81123,-73.909745,31.127127
40.81120333,-73.909755,31.127127
40.81116167,-73.90977,31.127127
40.81111833,-73.90978667,31.127127
40.81106,-73.90980833,31.127127
40.810865,-73.909875,31.127127
40.81081,-73.9099,31.127127
40.81075333,-73.90992833,31.127127
40.810705,-73.909965,31.127127
40.81062833,-73.90995167,31.127127
40.8106,-73.90991333,31.127127
40.810515,-73.90974333,38.69119
40.810495,-73.90966667,38.69119
40.81047333,-73.90959167,38.69119
40.810445,-73.90951833,38.69119
40.81042333,-73.90944,38.69119
40.8104,-73.909385,38.69119
40.81038,-73.909345,38.69119
40.81033333,-73.90925333,38.69119
40.81030667,-73.90922333,38.69119
40.81029333,-73.90917333,38.69119
40.81028,-73.90911833,38.69119
40.81026167,-73.909055,32.765686
40.81023833,-73.90897833,32.765686
40.81021833,-73.908895,32.765686
40.81017333,-73.90871333,32.765686
40.810155,-73.90862167,32.765686
40.81013833,-73.90853667,32.765686
40.81012667,-73.90847,32.765686
40.810125,-73.90843167,32.765686
40.81009667,-73.90818333,30.401278
40.81007833,-73.9081,30.401278
40.81006,-73.90800833,30.401278
40.81004,-73.90791833,30.401278
40.810025,-73.90782333,30.401278
40.80997833,-73.907525,30.401278
40.809905,-73.90740667,30.401278
40.80987,-73.90739667,30.401278
40.80982833,-73.90739833,30.401278
40.80977667,-73.90741167,30.401278
40.80964333,-73.907465,21.888697
40.80957167,-73.90749167,21.888697
40.80950167,-73.90751833,21.888697
40.80944167,-73.90753833,21.888697
40.80939833,-73.90755,21.888697
40.80920333,-73.90761333,21.888697
40.80913833,-73.90763833,21.888697
40.80906667,-73.90766,21.888697
40.80899,-73.90768,21.888697
40.80891167,-73.90770167,21.888697
40.808825,-73.90772667,21.888697
40.808735,-73.90775667,21.42875
40.80864333,-73.907785,21.42875
40.80855,-73.90781833,21.42875
40.80845667,-73.90785667,21.42875
40.80836,-73.90789333,21.42875
40.80826167,-73.90792833,21.42875
40.80806667,-73.90800833,21.42875
40.80797667,-73.90802667,21.42875
40.807885,-73.90804667,21.42875
40.80778833,-73.90808667,19.459139
40.80769167,-73.90813,19.459139
40.80759667,-73.90817333,19.459139
40.8075,-73.90821333,19.459139
40.80741333,-73.908245,22.46594
40.80732833,-73.90827,22.46594
40.80723833,-73.90829833,22.46594
40.80704833,-73.90836333,22.46594
40.806955,-73.90839667,30.94025
40.80687167,-73.90842833,30.94025
40.80679667,-73.908455,30.94025
40.80674,-73.90848,30.94025
40.80669667,-73.90849667,30.94025
40.80663333,-73.90853,30.94025
40.80654167,-73.90859333,30.94025
40.80648333,-73.90863333,30.94025
40.80643,-73.908675,30.94025
40.80638833,-73.90871333,30.94025
40.80634667,-73.90875333,30.94025
40.80631167,-73.9088,30.94025
40.80628333,-73.90885167,30.94025
40.80626,-73.90889833,30.94025
40.80624833,-73.90893667,30.94025
40.80624333,-73.90896333,30.94025
40.80621667,-73.909165,21.692127
40.806185,-73.909225,21.692127
40.80615,-73.90930167,21.692127
40.80609667,-73.90947667,21.692127
40.80606833,-73.90954667,35.4317
40.80603667,-73.909595,35.4317
40.80601333,-73.90964667,35.4317
40.80599,-73.9097,35.4317
40.80597167,-73.90976,35.4317
40.80591167,-73.90987167,35.4317
40.80590333,-73.90990833,35.4317
40.805895,-73.90994667,35.4317
40.80588667,-73.90998333,35.4317
40.80574833,-73.910005,33.47362
40.80571167,-73.90990833,35.4317
40.80562667,-73.90979167,35.4317
40.80555333,-73.90964,35.4317
40.80539,-73.90940833,35.4317
40.80531333,-73.90931,35.4317
40.80523667,-73.90921167,35.4317
40.80516667,-73.90911833,15.814362
40.80509833,-73.90902667,7.641706
40.80503167,-73.90895333,7.641706
40.80498833,-73.90889167,7.641706
40.804955,-73.90883167,7.641706
40.80489167,-73.90870167,7.641706
40.80486167,-73.90863833,7.641706
40.80483667,-73.90858,7.641706
40.804815,-73.90852667,7.641706
40.80479667,-73.90847333,7.641706
40.80478,-73.90842333,7.641706
40.80476667,-73.90837333,7.641706
40.80474,-73.908315,7.641706
40.80463667,-73.90824,7.641706
40.804555,-73.90812,7.59345
40.80449833,-73.90805,7.59345
40.80446,-73.90797167,7.59345
40.80441167,-73.90789,7.59345
40.80431833,-73.90774667,7.59345
40.804275,-73.90767833,7.234495
40.804235,-73.907605,7.234495
40.80420833,-73.907515,7.234495
40.804175,-73.90745167,7.234495
40.804135,-73.90736167,7.234495
40.80409667,-73.90721833,7.630151
40.80413667,-73.90718,7.630151
40.80417833,-73.907135,7.630151
40.80422333,-73.90709,7.630151
40.80427167,-73.90704333,7.630151
40.80432667,-73.906985,7.7379575
40.80438,-73.90693,7.7379575
40.80442667,-73.906875,7.7379575
40.80446833,-73.90682833,7.7379575
40.8045,-73.90678333,7.7379575
40.80451333,-73.90674167,7.7379575
40.80451,-73.9067,7.7379575
40.80448833,-73.90665667,7.7379575
40.80445333,-73.90660667,7.7379575
40.80441167,-73.90655667,7.7379575
40.80436667,-73.90649,7.7379575
40.80432333,-73.906415,7.1717324
40.804275,-73.90633,8.534774
40.80422333,-73.90624167,8.534774
40.80412,-73.90606,8.534774
40.80407,-73.90597,8.534774
40.80394333,-73.90573333,8.534774
40.803915,-73.90568167,8.534774
40.80389167,-73.90563,8.534774
40.803875,-73.90562667,8.534774
40.80382333,-73.905605,8.534774
40.803785,-73.90562833,8.534774
40.80373833,-73.90566833,8.534774
40.80368667,-73.90572167,8.534774
40.80363333,-73.90577667,8.534774
40.80357833,-73.90583167,8.534774
40.80352833,-73.90588333,8.534774
40.80348333,-73.90592667,8.534774
40.80344333,-73.90596667,8.534774
40.80340833,-73.906,9.144669
40.80338333,-73.90602333,9.144669
40.80331667,-73.90607,9.144669
40.80328,-73.90609333,9.144669
40.80319667,-73.90617,9.144669
40.80311667,-73.90625667,9.144669
40.803035,-73.90634667,9.144669
40.80296167,-73.90642833,9.144669
40.802895,-73.90650333,8.352494
40.80274667,-73.90665167,8.352494
40.80267333,-73.906725,8.352494
40.8026,-73.9068,8.352494
40.80252833,-73.90687333,8.7107935
40.80245333,-73.90694833,8.7107935
40.80237833,-73.90702,8.7107935
40.80230833,-73.90709167,8.7107935
40.80225167,-73.90714667,8.7107935
40.802215,-73.90718,8.7107935
40.80219167,-73.907205,8.7107935
40.80219167,-73.90729,8.7107935
40.80221667,-73.90734333,8.536253
40.80225167,-73.90740333,8.536253
40.80229667,-73.90747,8.536253
40.80234333,-73.90754833,8.536253
40.802395,-73.90763833,8.536253
40.80244667,-73.90773333,8.536253
40.80250333,-73.90783167,8.536253
40.802615,-73.90803167,7.3156085
40.80266833,-73.90812667,7.3156085
40.80271333,-73.90820333,7.3156085
40.80275833,-73.90829,7.5701375
40.80281167,-73.90837167,7.5701375
40.80283,-73.90840167,7.5701375
40.80285,-73.90844167,7.5701375
40.80287333,-73.90849167,7.5701375
