lat,long,var_res30,building_area_per_pixel_res30,
40.81310667,-73.90916667,1.4795455,0.09662987,0.0
40.813045,-73.90918667,1.4795455,0.09662987,0.0
40.81297833,-73.909215,0.0,0.0,0.0
40.81290833,-73.90924167,0.0,0.0,0.0
40.812845,-73.90925667,0.0,0.0,0.0
40.81277667,-73.90928,0.0,0.0,0.0
40.81271,-73.90931167,0.3563889,0.003479432,0.0
40.81264333,-73.90934,0.3563889,0.003479432,0.0
40.81256167,-73.90936333,0.3563889,0.003479432,0.0
40.812485,-73.90938333,0.3563889,0.003479432,0.0
40.81240333,-73.90939333,1.4756716,0.2724663,0.0
40.81233,-73.90942,1.4756716,0.2724663,0.0
40.81223667,-73.90945333,1.4756716,0.2724663,0.0
40.81216333,-73.90947667,1.7716666,0.2803853,0.0
40.81209333,-73.90949333,1.7716666,0.2803853,0.0
40.81203167,-73.90952167,1.7716666,0.2803853,0.0
40.81198167,-73.90953,1.7716666,0.2803853,0.0
40.81194,-73.90954833,1.7716666,0.2803853,0.0
40.8119,-73.90956333,1.8758823,0.016048301,0.0
40.81186333,-73.90958167,1.8758823,0.016048301,0.0
40.81181167,-73.9096,1.8758823,0.016048301,0.0
40.81175333,-73.909615,1.8758823,0.016048301,0.0
40.8117,-73.90963167,1.8758823,0.016048301,0.0
40.81164333,-73.90964667,1.8758823,0.016048301,0.0
40.81157833,-73.90966167,0.95694447,0.2095382,0.0
40.81151,-73.909675,0.95694447,0.2095382,0.0
40.81144167,-73.90969333,0.95694447,0.2095382,0.0
40.81137667,-73.909705,0.95694447,0.2095382,0.0
40.81132,-73.90971333,nan,0.48936346,0.0
40.81123,-73.909745,0.0,0.0,0.0
40.81120333,-73.909755,0.0,0.0,0.0
40.81116167,-73.90977,0.0,0.0,0.0
40.81111833,-73.90978667,0.0,0.0,0.0
40.81106,-73.90980833,0.95694447,0.037070353,0.0
40.810865,-73.909875,0.95694447,0.037070353,0.0
40.81081,-73.9099,0.95694447,0.20562384,0.0
40.81075333,-73.90992833,0.95694447,0.20562384,0.0
40.810705,-73.909965,0.95694447,0.20562384,0.0
40.81062833,-73.90995167,0.95694447,0.20562384,0.0
40.8106,-73.90991333,0.95694447,0.20562384,0.0
40.810515,-73.90974333,1.535,0.26468134,0.0
40.810495,-73.90966667,1.3416667,0.025188094,0.0
