lat,long,building_height_res30,building_height_std_res30,building_year_res30,building_area_res30
40.81310667,-73.90916667,65.1,0.0,1928.0,936.1115
40.813045,-73.90918667,65.1,0.0,1928.0,936.1115
40.81297833,-73.909215,0.0,-1.0,0.0,0.0
40.81290833,-73.90924167,0.0,-1.0,0.0,0.0
40.812845,-73.90925667,0.0,-1.0,0.0,0.0
40.81277667,-73.90928,0.0,-1.0,0.0,0.0
40.81271,-73.90931167,12.83,0.0,1931.0,33.707344
40.81264333,-73.90934,12.83,0.0,1931.0,33.707344
40.81256167,-73.90936333,12.83,0.0,1931.0,33.707344
40.812485,-73.90938333,12.83,0.0,1931.0,33.707344
40.81240333,-73.90939333,49.435,1.0852995,1931.0,2639.5444
40.81233,-73.90942,49.435,1.0852995,1931.0,2639.5444
40.81223667,-73.90945333,49.435,1.0852995,1931.0,2639.5444
40.81216333,-73.90947667,63.78,0.0,1927.0,2716.2603
40.81209333,-73.90949333,63.78,0.0,1927.0,2716.2603
40.81203167,-73.90952167,63.78,0.0,1927.0,2716.2603
40.81198167,-73.90953,63.78,0.0,1927.0,2716.2603
40.81194,-73.90954833,63.78,0.0,1927.0,2716.2603
40.8119,-73.90956333,63.78,0.0,1927.0,155.46951
40.81186333,-73.90958167,63.78,0.0,1927.0,155.46951
40.81181167,-73.9096,63.78,0.0,1927.0,155.46951
40.81175333,-73.909615,63.78,0.0,1927.0,155.46951
40.8117,-73.90963167,63.78,0.0,1927.0,155.46951
40.81164333,-73.90964667,63.78,0.0,1927.0,155.46951
40.81157833,-73.90966167,34.45,0.0,1965.0,2029.9222
40.81151,-73.909675,34.45,0.0,1965.0,2029.9222
40.81144167,-73.90969333,34.45,0.0,1965.0,2029.9222
40.81137667,-73.909705,34.45,0.0,1965.0,2029.9222
40.81132,-73.90971333,34.45,0.0,1965.0,4740.7573
40.81123,-73.909745,0.0,-1.0,0.0,0.0
40.81120333,-73.909755,0.0,-1.0,0.0,0.0
40.81116167,-73.90977,0.0,-1.0,0.0,0.0
40.81111833,-73.90978667,0.0,-1.0,0.0,0.0
40.81106,-73.90980833,34.45,0.0,1965.0,359.12274
40.810865,-73.909875,34.45,0.0,1965.0,359.12274
40.81081,-73.9099,34.45,0.0,1965.0,1992.0013
40.81075333,-73.90992833,34.45,0.0,1965.0,1992.0013
40.810705,-73.909965,34.45,0.0,1965.0,1992.0013
40.81062833,-73.90995167,34.45,0.0,1965.0,1992.0013
40.8106,-73.90991333,34.45,0.0,1965.0,1992.0013
40.810515,-73.90974333,46.05,0.0,1928.0,2564.1267
40.810495,-73.90966667,40.25,5.8,1946.5,244.01218
40.81047333,-73.90959167,40.25,5.8,1946.5,244.01218
40.810445,-73.90951833,40.25,5.8,1946.5,244.01218
40.81042333,-73.90944,34.45,0.0,1965.0,1126.3705
40.8104,-73.909385,34.45,0.0,1965.0,1126.3705
40.81038,-73.909345,34.45,0.0,1965.0,1126.3705
40.81033333,-73.90925333,34.45,0.0,1965.0,1126.3705
40.81030667,-73.90922333,34.45,0.0,1965.0,1126.3705
40.81029333,-73.90917333,17.86,0.0,1931.0,933.4305
40.81028,-73.90911833,24.92,0.0,1901.0,30.522844
40.81026167,-73.909055,24.92,0.0,1901.0,30.522844
40.81023833,-73.90897833,24.92,0.0,1901.0,30.522844
40.81021833,-73.908895,16.31,0.0,1931.0,1036.9839
40.81017333,-73.90871333,16.31,0.0,1931.0,1036.9839
40.810155,-73.90862167,16.31,0.0,1931.0,2986.7195
40.81013833,-73.90853667,16.31,0.0,1931.0,2986.7195
40.81012667,-73.90847,16.31,0.0,1931.0,2986.7195
40.810125,-73.90843167,16.31,0.0,1931.0,2986.7195
40.81009667,-73.90818333,29.655,13.345,1923.0,169.46596
40.81007833,-73.9081,51.46,8.46,1923.0,2521.437
40.81006,-73.90800833,51.46,8.46,1923.0,2521.437
40.81004,-73.90791833,51.46,8.46,1923.0,2521.437
40.810025,-73.90782333,59.92,0.0,1931.0,4558.1553
40.80997833,-73.907525,24.63,0.0,1931.0,1015.8728
40.809905,-73.90740667,24.63,0.0,1931.0,1015.8728
