lat,long,segment_avg_length_res100,segment_count_res100,segment_total_length_res100,degree_orientation_res100,entropy_orientation_res100,mean_circuity_res100
40.81310667,-73.90916667,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.813045,-73.90918667,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.81297833,-73.909215,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.81290833,-73.90924167,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.812845,-73.90925667,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.81277667,-73.90928,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.81271,-73.90931167,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.81264333,-73.90934,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.81256167,-73.90936333,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.812485,-73.90938333,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.81240333,-73.90939333,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.81233,-73.90942,167.789,1.0,167.789,14.388114,0.0,1.0014306
40.81223667,-73.90945333,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81216333,-73.90947667,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81209333,-73.90949333,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81203167,-73.90952167,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81198167,-73.90953,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81194,-73.90954833,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.8119,-73.90956333,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81186333,-73.90958167,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81181167,-73.9096,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81175333,-73.909615,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.8117,-73.90963167,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81164333,-73.90964667,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81157833,-73.90966167,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81151,-73.909675,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81144167,-73.90969333,119.8076,5.0,599.038,43.822124,0.67301166,1.0904491
40.81137667,-73.909705,145.215,1.0,145.215,14.384736,0.0,1.001341
40.81132,-73.90971333,145.215,1.0,145.215,14.384736,0.0,1.001341
40.81123,-73.909745,145.215,1.0,145.215,14.384736,0.0,1.001341
40.81120333,-73.909755,145.215,1.0,145.215,14.384736,0.0,1.001341
40.81116167,-73.90977,145.215,1.0,145.215,14.384736,0.0,1.001341
40.81111833,-73.90978667,145.215,1.0,145.215,14.384736,0.0,1.001341
40.81106,-73.90980833,145.215,1.0,145.215,14.384736,0.0,1.001341
40.810865,-73.909875,145.215,1.0,145.215,14.384736,0.0,1.001341
40.81081,-73.9099,145.215,1.0,145.215,14.384736,0.0,1.001341
40.81075333,-73.90992833,145.215,1.0,145.215,14.384736,0.0,1.001341
40.810705,-73.909965,145.215,1.0,145.215,14.384736,0.0,1.001341
40.81062833,-73.90995167,145.215,1.0,145.215,14.384736,0.0,1.001341
40.8106,-73.90991333,145.215,1.0,145.215,14.384736,0.0,1.001341
40.810515,-73.90974333,101.352,8.0,810.816,14.486207,0.0,0.999677
40.810495,-73.90966667,101.352,8.0,810.816,14.486207,0.0,0.999677
40.81047333,-73.90959167,101.352,8.0,810.816,14.486207,0.0,0.999677
40.810445,-73.90951833,101.352,8.0,810.816,14.486207,0.0,0.999677
40.81042333,-73.90944,101.352,8.0,810.816,14.486207,0.0,0.999677
40.8104,-73.909385,101.352,8.0,810.816,14.486207,0.0,0.999677
40.81038,-73.909345,101.352,8.0,810.816,14.486207,0.0,0.999677
40.81033333,-73.90925333,101.352,8.0,810.816,14.486207,0.0,0.999677
40.81030667,-73.90922333,101.352,8.0,810.816,14.486207,0.0,0.999677
40.81029333,-73.90917333,101.352,8.0,810.816,14.486207,0.0,0.999677
40.81028,-73.90911833,101.352,8.0,810.816,14.486207,0.0,0.999677
40.81026167,-73.909055,113.4505,8.0,907.604,14.62001,0.0,0.999682
40.81023833,-73.90897833,113.4505,8.0,907.604,14.62001,0.0,0.999682
40.81021833,-73.908895,113.4505,8.0,907.604,14.62001,0.0,0.999682
40.81017333,-73.90871333,113.4505,8.0,907.604,14.62001,0.0,0.999682
40.810155,-73.90862167,113.4505,8.0,907.604,14.62001,0.0,0.999682
40.81013833,-73.90853667,113.4505,8.0,907.604,14.62001,0.0,0.999682
40.81012667,-73.90847,113.4505,8.0,907.604,14.62001,0.0,0.999682
40.810125,-73.90843167,113.4505,8.0,907.604,14.62001,0.0,0.999682
40.81009667,-73.90818333,114.3825,4.0,457.53,14.62001,0.0,0.9996817
40.81007833,-73.9081,114.3825,4.0,457.53,14.62001,0.0,0.9996817
40.81006,-73.90800833,114.3825,4.0,457.53,14.62001,0.0,0.9996817
40.81004,-73.90791833,114.3825,4.0,457.53,14.62001,0.0,0.9996817
