lat,long,connectivity_res1000,node_density_res1000,entropy_degree_res1000,closeness_100_res1000,closeness_500_res1000,closeness_1000_res1000,intersection_res1000
40.81310667,-73.90916667,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.813045,-73.90918667,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81297833,-73.909215,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81290833,-73.90924167,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.812845,-73.90925667,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81277667,-73.90928,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81271,-73.90931167,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81264333,-73.90934,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81256167,-73.90936333,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.812485,-73.90938333,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81240333,-73.90939333,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81233,-73.90942,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81223667,-73.90945333,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81216333,-73.90947667,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81209333,-73.90949333,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81203167,-73.90952167,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81198167,-73.90953,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81194,-73.90954833,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.8119,-73.90956333,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81186333,-73.90958167,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81181167,-73.9096,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.81175333,-73.909615,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
40.8117,-73.90963167,5.4920635,63.0,0.5488744,2.4573935e-06,9.959609e-06,2.0590353e-05,63.0
