lat,long,street_width_res30_mean_25x25,street_traffic_res30_mean_25x25,street_lanes_res30_mean_25x25,street_orientation_res30_mean_25x25
40.81310667,-73.90916667,17.90526,0.6592,1.7073125,-0.1872
40.813045,-73.90918667,17.90526,0.6592,1.7073125,-0.1872
40.81297833,-73.909215,17.31985,0.5984,1.6708782,-0.2464
40.81290833,-73.90924167,17.31985,0.5984,1.6708782,-0.2464
40.812845,-73.90925667,17.31985,0.5984,1.6708782,-0.2464
40.81277667,-73.90928,17.31985,0.5984,1.6708782,-0.2464
40.81271,-73.90931167,16.088417,0.5376,1.586562,-0.2576
40.81264333,-73.90934,16.088417,0.5376,1.586562,-0.2576
40.81256167,-73.90936333,16.088417,0.5376,1.586562,-0.2576
40.812485,-73.90938333,16.088417,0.5376,1.586562,-0.2576
40.81240333,-73.90939333,15.976494,0.5152,1.5957619,-0.2608
40.81233,-73.90942,15.976494,0.5152,1.5957619,-0.2608
40.81223667,-73.90945333,15.976494,0.5152,1.5957619,-0.2608
40.81216333,-73.90947667,15.980253,0.5072,1.5947752,-0.2672
40.81209333,-73.90949333,15.980253,0.5072,1.5947752,-0.2672
40.81203167,-73.90952167,15.980253,0.5072,1.5947752,-0.2672
40.81198167,-73.90953,15.980253,0.5072,1.5947752,-0.2672
40.81194,-73.90954833,15.980253,0.5072,1.5947752,-0.2672
40.8119,-73.90956333,16.100452,0.496,1.6081086,-0.2672
40.81186333,-73.90958167,16.100452,0.496,1.6081086,-0.2672
40.81181167,-73.9096,16.100452,0.496,1.6081086,-0.2672
40.81175333,-73.909615,16.100452,0.496,1.6081086,-0.2672
40.8117,-73.90963167,16.100452,0.496,1.6081086,-0.2672
40.81164333,-73.90964667,16.100452,0.496,1.6081086,-0.2672
40.81157833,-73.90966167,16.12544,0.496,1.6156019,-0.2656
40.81151,-73.909675,16.12544,0.496,1.6156019,-0.2656
40.81144167,-73.90969333,16.12544,0.496,1.6156019,-0.2656
40.81137667,-73.909705,16.12544,0.496,1.6156019,-0.2656
40.81132,-73.90971333,15.87912,0.48,1.5957619,-0.28
40.81123,-73.909745,15.620666,0.448,1.5670686,-0.2864
40.81120333,-73.909755,15.620666,0.448,1.5670686,-0.2864
40.81116167,-73.90977,15.620666,0.448,1.5670686,-0.2864
40.81111833,-73.90978667,15.620666,0.448,1.5670686,-0.2864
40.81106,-73.90980833,15.513867,0.4352,1.5626687,-0.296
40.810865,-73.909875,15.513867,0.4352,1.5626687,-0.296
40.81081,-73.9099,15.654718,0.44,1.576322,-0.28
40.81075333,-73.90992833,15.654718,0.44,1.576322,-0.28
40.810705,-73.909965,15.654718,0.44,1.576322,-0.28
40.81062833,-73.90995167,15.654718,0.44,1.576322,-0.28
40.8106,-73.90991333,15.654718,0.44,1.576322,-0.28
40.810515,-73.90974333,15.73988,0.4416,1.5793352,-0.2544
40.810495,-73.90966667,16.270412,0.4976,1.6330153,-0.2336
40.81047333,-73.90959167,16.270412,0.4976,1.6330153,-0.2336
40.810445,-73.90951833,16.270412,0.4976,1.6330153,-0.2336
40.81042333,-73.90944,16.61909,0.5296,1.6672152,-0.2144
40.8104,-73.909385,16.61909,0.5296,1.6672152,-0.2144
40.81038,-73.909345,16.61909,0.5296,1.6672152,-0.2144
40.81033333,-73.90925333,16.61909,0.5296,1.6672152,-0.2144
40.81030667,-73.90922333,16.61909,0.5296,1.6672152,-0.2144
40.81029333,-73.90917333,17.24557,0.5984,1.7268953,-0.1744
40.81028,-73.90911833,17.065208,0.5664,1.6980418,-0.1632
40.81026167,-73.909055,17.065208,0.5664,1.6980418,-0.1632
40.81023833,-73.90897833,17.065208,0.5664,1.6980418,-0.1632
40.81021833,-73.908895,17.658169,0.6352,1.7554818,-0.1248
40.81017333,-73.90871333,17.658169,0.6352,1.7554818,-0.1248
40.810155,-73.90862167,18.17569,0.696,1.8066287,-0.0912
40.81013833,-73.90853667,18.17569,0.696,1.8066287,-0.0912
40.81012667,-73.90847,18.17569,0.696,1.8066287,-0.0912
40.810125,-73.90843167,18.17569,0.696,1.8066287,-0.0912
40.81009667,-73.90818333,18.47365,0.7296,1.8352685,-0.0704
40.81007833,-73.9081,18.822891,0.7568,1.8686628,-0.0384
40.81006,-73.90800833,18.822891,0.7568,1.8686628,-0.0384
40.81004,-73.90791833,18.822891,0.7568,1.8686628,-0.0384
40.810025,-73.90782333,19.26849,0.8,1.9126629,0.0
40.80997833,-73.907525,19.400677,0.7824,1.9151657,0.0336
40.809905,-73.90740667,19.400677,0.7824,1.9151657,0.0336
40.80987,-73.90739667,19.400677,0.7824,1.9151657,0.0336
40.80982833,-73.90739833,19.400677,0.7824,1.9151657,0.0336
