lat,long,building_height_res100_mean_25x25,building_height_std_res100_mean_25x25,building_year_res100_mean_25x25,building_area_res100_mean_25x25
40.81310667,-73.90916667,44.45068,14.985366,1768.1486,21027.113
40.813045,-73.90918667,44.45068,14.985366,1768.1486,21027.113
40.81297833,-73.909215,44.45068,14.985366,1768.1486,21027.113
40.81290833,-73.90924167,44.45068,14.985366,1768.1486,21027.113
40.812845,-73.90925667,44.45068,14.985366,1768.1486,21027.113
40.81277667,-73.90928,44.45068,14.985366,1768.1486,21027.113
40.81271,-73.90931167,44.45068,14.985366,1768.1486,21027.113
40.81264333,-73.90934,44.45068,14.985366,1768.1486,21027.113
40.81256167,-73.90936333,44.45068,14.985366,1768.1486,21027.113
40.812485,-73.90938333,44.45068,14.985366,1768.1486,21027.113
40.81240333,-73.90939333,44.45068,14.985366,1768.1486,21027.113
40.81233,-73.90942,44.45068,14.985366,1768.1486,21027.113
40.81223667,-73.90945333,42.522854,13.892162,1739.6836,20901.58
40.81216333,-73.90947667,42.522854,13.892162,1739.6836,20901.58
40.81209333,-73.90949333,42.522854,13.892162,1739.6836,20901.58
40.81203167,-73.90952167,42.522854,13.892162,1739.6836,20901.58
40.81198167,-73.90953,42.522854,13.892162,1739.6836,20901.58
40.81194,-73.90954833,42.522854,13.892162,1739.6836,20901.58
40.8119,-73.90956333,42.522854,13.892162,1739.6836,20901.58
40.81186333,-73.90958167,42.522854,13.892162,1739.6836,20901.58
40.81181167,-73.9096,42.522854,13.892162,1739.6836,20901.58
40.81175333,-73.909615,42.522854,13.892162,1739.6836,20901.58
40.8117,-73.90963167,42.522854,13.892162,1739.6836,20901.58
40.81164333,-73.90964667,42.522854,13.892162,1739.6836,20901.58
40.81157833,-73.90966167,42.522854,13.892162,1739.6836,20901.58
40.81151,-73.909675,42.522854,13.892162,1739.6836,20901.58
40.81144167,-73.90969333,42.522854,13.892162,1739.6836,20901.58
40.81137667,-73.909705,40.471985,13.334772,1708.3,20838.863
40.81132,-73.90971333,40.471985,13.334772,1708.3,20838.863
40.81123,-73.909745,40.471985,13.334772,1708.3,20838.863
40.81120333,-73.909755,40.471985,13.334772,1708.3,20838.863
40.81116167,-73.90977,40.471985,13.334772,1708.3,20838.863
40.81111833,-73.90978667,40.471985,13.334772,1708.3,20838.863
40.81106,-73.90980833,40.471985,13.334772,1708.3,20838.863
40.810865,-73.909875,40.471985,13.334772,1708.3,20838.863
40.81081,-73.9099,40.471985,13.334772,1708.3,20838.863
40.81075333,-73.90992833,40.471985,13.334772,1708.3,20838.863
40.810705,-73.909965,40.471985,13.334772,1708.3,20838.863
40.81062833,-73.90995167,40.471985,13.334772,1708.3,20838.863
40.8106,-73.90991333,40.471985,13.334772,1708.3,20838.863
40.810515,-73.90974333,38.790367,12.512531,1658.3047,20058.695
40.810495,-73.90966667,38.790367,12.512531,1658.3047,20058.695
40.81047333,-73.90959167,38.790367,12.512531,1658.3047,20058.695
40.810445,-73.90951833,38.790367,12.512531,1658.3047,20058.695
40.81042333,-73.90944,38.790367,12.512531,1658.3047,20058.695
40.8104,-73.909385,38.790367,12.512531,1658.3047,20058.695
40.81038,-73.909345,38.790367,12.512531,1658.3047,20058.695
40.81033333,-73.90925333,38.790367,12.512531,1658.3047,20058.695
40.81030667,-73.90922333,38.790367,12.512531,1658.3047,20058.695
40.81029333,-73.90917333,38.790367,12.512531,1658.3047,20058.695
40.81028,-73.90911833,38.790367,12.512531,1658.3047,20058.695
40.81026167,-73.909055,38.033886,12.100411,1630.0573,19531.23
40.81023833,-73.90897833,38.033886,12.100411,1630.0573,19531.23
40.81021833,-73.908895,38.033886,12.100411,1630.0573,19531.23
40.81017333,-73.90871333,38.033886,12.100411,1630.0573,19531.23
40.810155,-73.90862167,38.033886,12.100411,1630.0573,19531.23
40.81013833,-73.90853667,38.033886,12.100411,1630.0573,19531.23
40.81012667,-73.90847,38.033886,12.100411,1630.0573,19531.23
40.810125,-73.90843167,38.033886,12.100411,1630.0573,19531.23
40.81009667,-73.90818333,36.8381,11.634475,1592.1902,18753.324
40.81007833,-73.9081,36.8381,11.634475,1592.1902,18753.324
40.81006,-73.90800833,36.8381,11.634475,1592.1902,18753.324
40.81004,-73.90791833,36.8381,11.634475,1592.1902,18753.324
40.810025,-73.90782333,36.8381,11.634475,1592.1902,18753.324
40.80997833,-73.907525,36.8381,11.634475,1592.1902,18753.324
40.809905,-73.90740667,36.8381,11.634475,1592.1902,18753.324
40.80987,-73.90739667,36.8381,11.634475,1592.1902,18753.324
40.80982833,-73.90739833,36.8381,11.634475,1592.1902,18753.324
40.80977667,-73.90741167,36.8381,11.634475,1592.1902,18753.324
40.80964333,-73.907465,35.487133,11.041087,1529.4926,18200.71
40.80957167,-73.90749167,35.487133,11.041087,1529.4926,18200.71
40.80950167,-73.90751833,35.487133,11.041087,1529.4926,18200.71
40.80944167,-73.90753833,35.487133,11.041087,1529.4926,18200.71
40.80939833,-73.90755,35.487133,11.041087,1529.4926,18200.71
40.80920333,-73.90761333,35.487133,11.041087,1529.4926,18200.71
40.80913833,-73.90763833,35.487133,11.041087,1529.4926,18200.71
40.80906667,-73.90766,35.487133,11.041087,1529.4926,18200.71
40.80899,-73.90768,35.487133,11.041087,1529.4926,18200.71
40.80891167,-73.90770167,35.487133,11.041087,1529.4926,18200.71
40.808825,-73.90772667,35.487133,11.041087,1529.4926,18200.71
40.808735,-73.90775667,34.17398,10.418644,1463.6368,17489.092
40.80864333,-73.907785,34.17398,10.418644,1463.6368,17489.092
40.80855,-73.90781833,34.17398,10.418644,1463.6368,17489.092
40.80845667,-73.90785667,34.17398,10.418644,1463.6368,17489.092
40.80836,-73.90789333,34.17398,10.418644,1463.6368,17489.092
40.80826167,-73.90792833,34.17398,10.418644,1463.6368,17489.092
40.80806667,-73.90800833,34.17398,10.418644,1463.6368,17489.092
40.80797667,-73.90802667,34.17398,10.418644,1463.6368,17489.092
40.807885,-73.90804667,34.17398,10.418644,1463.6368,17489.092
40.80778833,-73.90808667,32.477135,9.650687,1394.6682,16488.678
40.80769167,-73.90813,32.477135,9.650687,1394.6682,16488.678
40.80759667,-73.90817333,32.477135,9.650687,1394.6682,16488.678
40.8075,-73.90821333,32.477135,9.650687,1394.6682,16488.678
40.80741333,-73.908245,33.455612,10.057918,1429.3292,17193.129
40.80732833,-73.90827,33.455612,10.057918,1429.3292,17193.129
