lat,long,has_residence_res30_distance_mean_5x5,has_manufacture_res30_distance_mean_5x5,has_commercial_res30_distance_mean_5x5,has_park_res30_distance_mean_5x5
40.81310667,-73.90916667,0.0,10.136367,20.279394,5.4970565
40.813045,-73.90918667,0.0,10.136367,20.279394,5.4970565
40.81297833,-73.909215,0.0,9.475289,20.799393,4.248528
40.81290833,-73.90924167,0.0,9.475289,20.799393,4.248528
40.812845,-73.90925667,0.0,9.475289,20.799393,4.248528
40.81277667,-73.90928,0.0,9.475289,20.799393,4.248528
40.81271,-73.90931167,0.0,8.493036,21.122925,4.082843
40.81264333,-73.90934,0.0,8.493036,21.122925,4.082843
40.81256167,-73.90936333,0.0,8.493036,21.122925,4.082843
40.812485,-73.90938333,0.0,8.493036,21.122925,4.082843
40.81240333,-73.90939333,0.0,7.4970555,21.209301,4.0
40.81233,-73.90942,0.0,7.4970555,21.209301,4.0
40.81223667,-73.90945333,0.0,7.4970555,21.209301,4.0
40.81216333,-73.90947667,0.0,6.8284264,21.53665,3.0
40.81209333,-73.90949333,0.0,6.8284264,21.53665,3.0
40.81203167,-73.90952167,0.0,6.8284264,21.53665,3.0
40.81198167,-73.90953,0.0,6.8284264,21.53665,3.0
40.81194,-73.90954833,0.0,6.8284264,21.53665,3.0
40.8119,-73.90956333,0.0,5.851859,21.659006,2.9794114
40.81186333,-73.90958167,0.0,5.851859,21.659006,2.9794114
40.81181167,-73.9096,0.0,5.851859,21.659006,2.9794114
40.81175333,-73.909615,0.0,5.851859,21.659006,2.9794114
40.8117,-73.90963167,0.0,5.851859,21.659006,2.9794114
40.81164333,-73.90964667,0.0,5.851859,21.659006,2.9794114
40.81157833,-73.90966167,0.0,4.898721,21.86136,2.8856854
40.81151,-73.909675,0.0,4.898721,21.86136,2.8856854
40.81144167,-73.90969333,0.0,4.898721,21.86136,2.8856854
40.81137667,-73.909705,0.0,4.898721,21.86136,2.8856854
40.81132,-73.90971333,0.0,3.975879,22.155085,2.6856854
40.81123,-73.909745,0.0,4.497544,22.458319,1.79598
40.81120333,-73.909755,0.0,4.497544,22.458319,1.79598
40.81116167,-73.90977,0.0,4.497544,22.458319,1.79598
40.81111833,-73.90978667,0.0,4.497544,22.458319,1.79598
40.81106,-73.90980833,0.04,3.63529,22.898317,1.6359799
40.810865,-73.909875,0.04,3.63529,22.898317,1.6359799
40.81081,-73.9099,0.04,2.779899,23.36459,1.4759799
40.81075333,-73.90992833,0.04,2.779899,23.36459,1.4759799
40.810705,-73.909965,0.04,2.779899,23.36459,1.4759799
40.81062833,-73.90995167,0.04,2.779899,23.36459,1.4759799
40.8106,-73.90991333,0.04,2.779899,23.36459,1.4759799
40.810515,-73.90974333,0.04,1.964508,23.76459,1.4194113
40.810495,-73.90966667,0.04,1.5050968,23.348228,2.2125483
40.81047333,-73.90959167,0.04,1.5050968,23.348228,2.2125483
40.810445,-73.90951833,0.04,1.5050968,23.348228,2.2125483
40.81042333,-73.90944,0.08,1.1256855,22.545586,3.1656854
40.8104,-73.909385,0.08,1.1256855,22.545586,3.1656854
40.81038,-73.909345,0.08,1.1256855,22.545586,3.1656854
40.81033333,-73.90925333,0.08,1.1256855,22.545586,3.1656854
40.81030667,-73.90922333,0.08,1.1256855,22.545586,3.1656854
40.81029333,-73.90917333,0.12,0.93254834,21.545586,4.1656857
40.81028,-73.90911833,0.41656852,0.46627417,21.862741,4.248528
40.81026167,-73.909055,0.41656852,0.46627417,21.862741,4.248528
40.81023833,-73.90897833,0.41656852,0.46627417,21.862741,4.248528
40.81021833,-73.908895,0.49656853,0.3931371,20.862741,5.248528
40.81017333,-73.90871333,0.49656853,0.3931371,20.862741,5.248528
40.810155,-73.90862167,0.55313706,0.41656852,19.862741,6.248528
40.81013833,-73.90853667,0.55313706,0.41656852,19.862741,6.248528
40.81012667,-73.90847,0.55313706,0.41656852,19.862741,6.248528
40.810125,-73.90843167,0.55313706,0.41656852,19.862741,6.248528
40.81009667,-73.90818333,0.49656853,0.49656853,18.862741,7.248528
40.81007833,-73.9081,0.41656852,0.57656854,17.862741,8.248528
