lat,long,has_residence_res30_distance_mean_15x15,has_manufacture_res30_distance_mean_15x15,has_commercial_res30_distance_mean_15x15,has_park_res30_distance_mean_15x15
40.81310667,-73.90916667,0.074793,8.775559,17.948547,6.1466312
40.813045,-73.90918667,0.074793,8.775559,17.948547,6.1466312
40.81297833,-73.909215,0.17028315,8.283805,18.30676,5.1815004
40.81290833,-73.90924167,0.17028315,8.283805,18.30676,5.1815004
40.812845,-73.90925667,0.17028315,8.283805,18.30676,5.1815004
40.81277667,-73.90928,0.17028315,8.283805,18.30676,5.1815004
40.81271,-73.90931167,0.18361649,7.725723,18.636673,4.928691
40.81264333,-73.90934,0.18361649,7.725723,18.636673,4.928691
40.81256167,-73.90936333,0.18361649,7.725723,18.636673,4.928691
40.812485,-73.90938333,0.18361649,7.725723,18.636673,4.928691
40.81240333,-73.90939333,0.20952061,7.1115184,18.959091,4.689214
40.81233,-73.90942,0.20952061,7.1115184,18.959091,4.689214
40.81223667,-73.90945333,0.20952061,7.1115184,18.959091,4.689214
40.81216333,-73.90947667,0.4093898,6.6440353,19.366879,3.755772
40.81209333,-73.90949333,0.4093898,6.6440353,19.366879,3.755772
40.81203167,-73.90952167,0.4093898,6.6440353,19.366879,3.755772
40.81198167,-73.90953,0.4093898,6.6440353,19.366879,3.755772
40.81194,-73.90954833,0.4093898,6.6440353,19.366879,3.755772
40.8119,-73.90956333,0.46380153,6.0173903,19.695847,3.621622
40.81186333,-73.90958167,0.46380153,6.0173903,19.695847,3.621622
40.81181167,-73.9096,0.46380153,6.0173903,19.695847,3.621622
40.81175333,-73.909615,0.46380153,6.0173903,19.695847,3.621622
40.8117,-73.90963167,0.46380153,6.0173903,19.695847,3.621622
40.81164333,-73.90964667,0.46380153,6.0173903,19.695847,3.621622
40.81157833,-73.90966167,0.535991,5.3870645,20.022522,3.5435941
40.81151,-73.909675,0.535991,5.3870645,20.022522,3.5435941
40.81144167,-73.90969333,0.535991,5.3870645,20.022522,3.5435941
40.81137667,-73.909705,0.535991,5.3870645,20.022522,3.5435941
40.81132,-73.90971333,0.63776654,4.771466,20.350147,3.5190842
40.81123,-73.909745,0.8454462,5.067773,20.458927,2.8695638
40.81120333,-73.909755,0.8454462,5.067773,20.458927,2.8695638
40.81116167,-73.90977,0.8454462,5.067773,20.458927,2.8695638
40.81111833,-73.90978667,0.8454462,5.067773,20.458927,2.8695638
40.81106,-73.90980833,0.9294439,4.486205,20.840385,2.8830822
40.810865,-73.909875,0.9294439,4.486205,20.840385,2.8830822
40.81081,-73.9099,1.0220147,3.9067936,21.24299,2.9453042
40.81075333,-73.90992833,1.0220147,3.9067936,21.24299,2.9453042
40.810705,-73.909965,1.0220147,3.9067936,21.24299,2.9453042
40.81062833,-73.90995167,1.0220147,3.9067936,21.24299,2.9453042
40.8106,-73.90991333,1.0220147,3.9067936,21.24299,2.9453042
40.810515,-73.90974333,1.1297598,3.3373497,21.671368,3.0455544
40.810495,-73.90966667,1.0138884,3.009616,21.441957,3.6935503
40.81047333,-73.90959167,1.0138884,3.009616,21.441957,3.6935503
40.810445,-73.90951833,1.0138884,3.009616,21.441957,3.6935503
40.81042333,-73.90944,0.92176425,2.7059453,21.101566,4.408212
40.8104,-73.909385,0.92176425,2.7059453,21.101566,4.408212
40.81038,-73.909345,0.92176425,2.7059453,21.101566,4.408212
40.81033333,-73.90925333,0.92176425,2.7059453,21.101566,4.408212
40.81030667,-73.90922333,0.92176425,2.7059453,21.101566,4.408212
40.81029333,-73.90917333,0.8651958,2.417133,20.650196,5.189541
40.81028,-73.90911833,1.1283656,1.9335277,21.008095,5.317406
40.81026167,-73.909055,1.1283656,1.9335277,21.008095,5.317406
40.81023833,-73.90897833,1.1283656,1.9335277,21.008095,5.317406
40.81021833,-73.908895,1.1783329,1.701284,20.412027,6.1654015
40.81017333,-73.90871333,1.1783329,1.701284,20.412027,6.1654015
40.810155,-73.90862167,1.2830276,1.5075152,19.70238,7.0793014
