lat,long,zonedist_level1_res30_mean_15x15,zonedist_level2_res30_mean_15x15,zonedist_level3_res30_mean_15x15,has_residence_res30_mean_15x15,has_manufacture_res30_mean_15x15,has_commercial_res30_mean_15x15,has_park_res30_mean_15x15
40.81310667,-73.90916667,2.8888888,27.777779,108.44444,0.94222224,0.0,0.0,0.11111111
40.813045,-73.90918667,2.8888888,27.777779,108.44444,0.94222224,0.0,0.0,0.11111111
40.81297833,-73.909215,2.8311112,26.622223,107.115555,0.8977778,0.0,0.0,0.16888888
40.81290833,-73.90924167,2.8311112,26.622223,107.115555,0.8977778,0.0,0.0,0.16888888
40.812845,-73.90925667,2.8311112,26.622223,107.115555,0.8977778,0.0,0.0,0.16888888
40.81277667,-73.90928,2.8311112,26.622223,107.115555,0.8977778,0.0,0.0,0.16888888
40.81271,-73.90931167,2.808889,26.177778,106.60445,0.8888889,0.0,0.0,0.19111112
40.81264333,-73.90934,2.808889,26.177778,106.60445,0.8888889,0.0,0.0,0.19111112
40.81256167,-73.90936333,2.808889,26.177778,106.60445,0.8888889,0.0,0.0,0.19111112
40.812485,-73.90938333,2.808889,26.177778,106.60445,0.8888889,0.0,0.0,0.19111112
40.81240333,-73.90939333,2.7777777,25.528889,105.58667,0.8711111,0.008888889,0.0,0.21333334
40.81233,-73.90942,2.7777777,25.528889,105.58667,0.8711111,0.008888889,0.0,0.21333334
40.81223667,-73.90945333,2.7777777,25.528889,105.58667,0.8711111,0.008888889,0.0,0.21333334
40.81216333,-73.90947667,2.6311111,23.124445,101.87111,0.8,0.04,0.0,0.29777777
40.81209333,-73.90949333,2.6311111,23.124445,101.87111,0.8,0.04,0.0,0.29777777
40.81203167,-73.90952167,2.6311111,23.124445,101.87111,0.8,0.04,0.0,0.29777777
40.81198167,-73.90953,2.6311111,23.124445,101.87111,0.8,0.04,0.0,0.29777777
40.81194,-73.90954833,2.6311111,23.124445,101.87111,0.8,0.04,0.0,0.29777777
40.8119,-73.90956333,2.5377777,21.76,99.08,0.76,0.08,0.0,0.32
40.81186333,-73.90958167,2.5377777,21.76,99.08,0.76,0.08,0.0,0.32
40.81181167,-73.9096,2.5377777,21.76,99.08,0.76,0.08,0.0,0.32
40.81175333,-73.909615,2.5377777,21.76,99.08,0.76,0.08,0.0,0.32
40.8117,-73.90963167,2.5377777,21.76,99.08,0.76,0.08,0.0,0.32
40.81164333,-73.90964667,2.5377777,21.76,99.08,0.76,0.08,0.0,0.32
40.81157833,-73.90966167,2.431111,20.457777,96.08889,0.7111111,0.12888889,0.0,0.33333334
40.81151,-73.909675,2.431111,20.457777,96.08889,0.7111111,0.12888889,0.0,0.33333334
40.81144167,-73.90969333,2.431111,20.457777,96.08889,0.7111111,0.12888889,0.0,0.33333334
40.81137667,-73.909705,2.431111,20.457777,96.08889,0.7111111,0.12888889,0.0,0.33333334
40.81132,-73.90971333,2.3333333,19.333334,93.30222,0.6577778,0.17777778,0.0,0.33333334
40.81123,-73.909745,2.3022223,18.40889,92.78222,0.60444444,0.16,0.0,0.4
40.81120333,-73.909755,2.3022223,18.40889,92.78222,0.60444444,0.16,0.0,0.4
40.81116167,-73.90977,2.3022223,18.40889,92.78222,0.60444444,0.16,0.0,0.4
40.81111833,-73.90978667,2.3022223,18.40889,92.78222,0.60444444,0.16,0.0,0.4
40.81106,-73.90980833,2.2266667,17.386667,90.248886,0.58666664,0.20444444,0.0,0.4
40.810865,-73.909875,2.2266667,17.386667,90.248886,0.58666664,0.20444444,0.0,0.4
