lat,long,var_res30_contrast_15x15,var_res30_dissimilarity_15x15,var_res30_homogeneity_15x15,var_res30_energy_15x15,var_res30_correlation_15x15,var_res30_ASM_15x15,building_area_per_pixel_res30_contrast_15x15,building_area_per_pixel_res30_dissimilarity_15x15,building_area_per_pixel_res30_homogeneity_15x15,building_area_per_pixel_res30_energy_15x15,building_area_per_pixel_res30_correlation_15x15,building_area_per_pixel_res30_ASM_15x15,None_contrast_15x15,None_dissimilarity_15x15,None_homogeneity_15x15,None_energy_15x15,None_correlation_15x15,None_ASM_15x15
40.81310667,-73.90916667,0.0,0.0,1.0,1.0,1.0,1.0,3.4591837,1.3367347,0.5274494,0.3163471,0.08815941,0.10007549,0.0,0.0,1.0,1.0,1.0,1.0
40.813045,-73.90918667,0.0,0.0,1.0,1.0,1.0,1.0,3.4591837,1.3367347,0.5274494,0.3163471,0.08815941,0.10007549,0.0,0.0,1.0,1.0,1.0,1.0
40.81297833,-73.909215,0.0,0.0,1.0,1.0,1.0,1.0,3.3061225,1.2653061,0.5573552,0.34944323,0.16123152,0.122110575,0.0,0.0,1.0,1.0,1.0,1.0
40.81290833,-73.90924167,0.0,0.0,1.0,1.0,1.0,1.0,3.3061225,1.2653061,0.5573552,0.34944323,0.16123152,0.122110575,0.0,0.0,1.0,1.0,1.0,1.0
40.812845,-73.90925667,0.0,0.0,1.0,1.0,1.0,1.0,3.3061225,1.2653061,0.5573552,0.34944323,0.16123152,0.122110575,0.0,0.0,1.0,1.0,1.0,1.0
40.81277667,-73.90928,0.0,0.0,1.0,1.0,1.0,1.0,3.3061225,1.2653061,0.5573552,0.34944323,0.16123152,0.122110575,0.0,0.0,1.0,1.0,1.0,1.0
40.81271,-73.90931167,0.0,0.0,1.0,1.0,1.0,1.0,3.760204,1.3622448,0.5386439,0.34350795,0.121997766,0.117997706,0.0,0.0,1.0,1.0,1.0,1.0
40.81264333,-73.90934,0.0,0.0,1.0,1.0,1.0,1.0,3.760204,1.3622448,0.5386439,0.34350795,0.121997766,0.117997706,0.0,0.0,1.0,1.0,1.0,1.0
40.81256167,-73.90936333,0.0,0.0,1.0,1.0,1.0,1.0,3.760204,1.3622448,0.5386439,0.34350795,0.121997766,0.117997706,0.0,0.0,1.0,1.0,1.0,1.0
40.812485,-73.90938333,0.0,0.0,1.0,1.0,1.0,1.0,3.760204,1.3622448,0.5386439,0.34350795,0.121997766,0.117997706,0.0,0.0,1.0,1.0,1.0,1.0
40.81240333,-73.90939333,0.0,0.0,1.0,1.0,1.0,1.0,3.9795918,1.4081633,0.5299566,0.34718254,0.108841635,0.12053572,0.0,0.0,1.0,1.0,1.0,1.0
40.81233,-73.90942,0.0,0.0,1.0,1.0,1.0,1.0,3.9795918,1.4081633,0.5299566,0.34718254,0.108841635,0.12053572,0.0,0.0,1.0,1.0,1.0,1.0
40.81223667,-73.90945333,0.0,0.0,1.0,1.0,1.0,1.0,3.9795918,1.4081633,0.5299566,0.34718254,0.108841635,0.12053572,0.0,0.0,1.0,1.0,1.0,1.0
