lat,long,building_height_res30_contrast_15x15,building_height_res30_dissimilarity_15x15,building_height_res30_homogeneity_15x15,building_height_res30_energy_15x15,building_height_res30_correlation_15x15,building_height_res30_ASM_15x15,building_height_std_res30_contrast_15x15,building_height_std_res30_dissimilarity_15x15,building_height_std_res30_homogeneity_15x15,building_height_std_res30_energy_15x15,building_height_std_res30_correlation_15x15,building_height_std_res30_ASM_15x15,building_year_res30_contrast_15x15,building_year_res30_dissimilarity_15x15,building_year_res30_homogeneity_15x15,building_year_res30_energy_15x15,building_year_res30_correlation_15x15,building_year_res30_ASM_15x15,building_area_res30_contrast_15x15,building_area_res30_dissimilarity_15x15,building_area_res30_homogeneity_15x15,building_area_res30_energy_15x15,building_area_res30_correlation_15x15,building_area_res30_ASM_15x15
40.81310667,-73.90916667,0.3469388,0.18367347,0.9244898,0.8552883,0.48973966,0.7315181,0.020408163,0.020408163,0.9897959,0.9796981,-0.010309278,0.9598084,47.066326,3.1377552,0.7917419,0.67604446,0.44592685,0.45703614,12.882653,2.6683674,0.3770149,0.22739883,0.10902595,0.051710226
40.813045,-73.90918667,0.3469388,0.18367347,0.9244898,0.8552883,0.48973966,0.7315181,0.020408163,0.020408163,0.9897959,0.9796981,-0.010309278,0.9598084,47.066326,3.1377552,0.7917419,0.67604446,0.44592685,0.45703614,12.882653,2.6683674,0.3770149,0.22739883,0.10902595,0.051710226
40.81297833,-73.909215,0.30612245,0.1632653,0.93265307,0.8650028,0.5267225,0.7482299,0.020408163,0.020408163,0.9897959,0.9796981,-0.010309278,0.9598084,51.658165,3.4438775,0.77142406,0.63268393,0.45701358,0.40028894,12.602041,2.5408163,0.42088583,0.26818493,0.1802135,0.07192316
40.81290833,-73.90924167,0.30612245,0.1632653,0.93265307,0.8650028,0.5267225,0.7482299,0.020408163,0.020408163,0.9897959,0.9796981,-0.010309278,0.9598084,51.658165,3.4438775,0.77142406,0.63268393,0.45701358,0.40028894,12.602041,2.5408163,0.42088583,0.26818493,0.1802135,0.07192316
40.812845,-73.90925667,0.30612245,0.1632653,0.93265307,0.8650028,0.5267225,0.7482299,0.020408163,0.020408163,0.9897959,0.9796981,-0.010309278,0.9598084,51.658165,3.4438775,0.77142406,0.63268393,0.45701358,0.40028894,12.602041,2.5408163,0.42088583,0.26818493,0.1802135,0.07192316
40.81277667,-73.90928,0.30612245,0.1632653,0.93265307,0.8650028,0.5267225,0.7482299,0.020408163,0.020408163,0.9897959,0.9796981,-0.010309278,0.9598084,51.658165,3.4438775,0.77142406,0.63268393,0.45701358,0.40028894,12.602041,2.5408163,0.42088583,0.26818493,0.1802135,0.07192316
40.81271,-73.90931167,0.26530612,0.14285715,0.94081634,0.874788,0.56740236,0.7652541,0.020408163,0.020408163,0.9897959,0.9796981,-0.010309278,0.9598084,47.066326,3.1377552,0.7917419,0.64482814,0.5004817,0.4158033,14.086735,2.6989796,0.4078813,0.26687136,0.15438496,0.07122032
40.81264333,-73.90934,0.26530612,0.14285715,0.94081634,0.874788,0.56740236,0.7652541,0.020408163,0.020408163,0.9897959,0.9796981,-0.010309278,0.9598084,47.066326,3.1377552,0.7917419,0.64482814,0.5004817,0.4158033,14.086735,2.6989796,0.4078813,0.26687136,0.15438496,0.07122032
40.81256167,-73.90936333,0.26530612,0.14285715,0.94081634,0.874788,0.56740236,0.7652541,0.020408163,0.020408163,0.9897959,0.9796981,-0.010309278,0.9598084,47.066326,3.1377552,0.7917419,0.64482814,0.5004817,0.4158033,14.086735,2.6989796,0.4078813,0.26687136,0.15438496,0.07122032
40.812485,-73.90938333,0.26530612,0.14285715,0.94081634,0.874788,0.56740236,0.7652541,0.020408163,0.020408163,0.9897959,0.9796981,-0.010309278,0.9598084,47.066326,3.1377552,0.7917419,0.64482814,0.5004817,0.4158033,14.086735,2.6989796,0.4078813,0.26687136,0.15438496,0.07122032
