lat,long,street_width_res30_mean_15x15,street_traffic_res30_mean_15x15,street_lanes_res30_mean_15x15,street_orientation_res30_mean_15x15
40.81310667,-73.90916667,18.188408,0.7911111,1.7589312,-0.13777778
40.813045,-73.90918667,18.188408,0.7911111,1.7589312,-0.13777778
40.81297833,-73.909215,16.79115,0.64,1.6149312,-0.2
40.81290833,-73.90924167,16.79115,0.64,1.6149312,-0.2
40.812845,-73.90925667,16.79115,0.64,1.6149312,-0.2
40.81277667,-73.90928,16.79115,0.64,1.6149312,-0.2
40.81271,-73.90931167,16.104927,0.5688889,1.5482646,-0.23111111
40.81264333,-73.90934,16.104927,0.5688889,1.5482646,-0.23111111
40.81256167,-73.90936333,16.104927,0.5688889,1.5482646,-0.23111111
40.812485,-73.90938333,16.104927,0.5688889,1.5482646,-0.23111111
40.81240333,-73.90939333,16.454926,0.60888886,1.6154867,-0.22666667
40.81233,-73.90942,16.454926,0.60888886,1.6154867,-0.22666667
40.81223667,-73.90945333,16.454926,0.60888886,1.6154867,-0.22666667
40.81216333,-73.90947667,16.30826,0.5733333,1.6154867,-0.25777778
40.81209333,-73.90949333,16.30826,0.5733333,1.6154867,-0.25777778
40.81203167,-73.90952167,16.30826,0.5733333,1.6154867,-0.25777778
40.81198167,-73.90953,16.30826,0.5733333,1.6154867,-0.25777778
40.81194,-73.90954833,16.30826,0.5733333,1.6154867,-0.25777778
40.8119,-73.90956333,15.892148,0.52444446,1.5851164,-0.26666668
40.81186333,-73.90958167,15.892148,0.52444446,1.5851164,-0.26666668
40.81181167,-73.9096,15.892148,0.52444446,1.5851164,-0.26666668
40.81175333,-73.909615,15.892148,0.52444446,1.5851164,-0.26666668
40.8117,-73.90963167,15.892148,0.52444446,1.5851164,-0.26666668
40.81164333,-73.90964667,15.892148,0.52444446,1.5851164,-0.26666668
40.81157833,-73.90966167,14.94511,0.44444445,1.5147461,-0.28
40.81151,-73.909675,14.94511,0.44444445,1.5147461,-0.28
40.81144167,-73.90969333,14.94511,0.44444445,1.5147461,-0.28
40.81137667,-73.909705,14.94511,0.44444445,1.5147461,-0.28
40.81132,-73.90971333,14.528889,0.42666668,1.4934127,-0.28444445
40.81123,-73.909745,13.148889,0.29333332,1.335635,-0.33333334
40.81120333,-73.909755,13.148889,0.29333332,1.335635,-0.33333334
40.81116167,-73.90977,13.148889,0.29333332,1.335635,-0.33333334
40.81111833,-73.90978667,13.148889,0.29333332,1.335635,-0.33333334
40.81106,-73.90980833,12.849444,0.25333333,1.326746,-0.33777776
40.810865,-73.909875,12.849444,0.25333333,1.326746,-0.33777776
40.81081,-73.9099,13.540556,0.2888889,1.4185978,-0.31555554
40.81075333,-73.90992833,13.540556,0.2888889,1.4185978,-0.31555554
